outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,-12,-0.3137551161,0.1058601955,0.0030380351,-0.5212410994,-0.1062691329,2025-03,625
top3_mean_consumption,-11,-0.1626722893,0.1043120925,0.1188835691,-0.3671239906,0.0417794121,2025-03,625
top3_mean_consumption,-10,-0.1141889758,0.1142813948,0.3177020282,-0.3381805096,0.1098025581,2025-03,625
top3_mean_consumption,-9,-0.0782136147,0.1163876394,0.5015775648,-0.306333388,0.1499061586,2025-03,625
top3_mean_consumption,-8,-0.0053775157,0.1177696466,0.9635802064,-0.2362060229,0.2254509916,2025-03,625
top3_mean_consumption,-7,0.0814416295,0.1133623045,0.4724989967,-0.1407484874,0.3036317463,2025-03,625
top3_mean_consumption,-6,0.1032211445,0.1034061271,0.3181770021,-0.0994548646,0.3058971536,2025-03,625
top3_mean_consumption,-5,0.0798062084,0.0935232658,0.3934763279,-0.1034993926,0.2631118095,2025-03,625
top3_mean_consumption,-4,-0.0910573017,0.0817574593,0.265386813,-0.251301922,0.0691873186,2025-03,625
top3_mean_consumption,-3,0.0095476905,0.0725245636,0.8952629708,-0.1326004541,0.1516958351,2025-03,625
top3_mean_consumption,-2,-0.0823363149,0.0579719283,0.1555264594,-0.1959612943,0.0312886645,2025-03,625
top3_mean_consumption,0,0.6245135952,0.0879971018,0.0,0.4520392757,0.7969879147,2025-03,625
top3_mean_consumption,1,0.5332810678,0.1030368892,2.271e-07,0.331328765,0.7352333707,2025-03,625
top3_mean_consumption,2,0.4504327328,0.1131292912,6.84602e-05,0.228699322,0.6721661436,2025-03,625
top3_mean_consumption,3,0.5934289091,0.1232058164,1.4605e-06,0.351945509,0.8349123092,2025-03,625
top3_mean_consumption,4,0.651625791,0.1275634244,3.252e-07,0.4016014792,0.9016501029,2025-03,625
top3_mean_consumption,5,0.6981542378,0.1244418486,2.02e-08,0.4542482145,0.942060261,2025-03,625
top3_mean_consumption,6,0.7783371973,0.1179440349,0.0,0.547166889,1.0095075057,2025-03,625
top3_mean_consumption,-12,-0.149825629,0.1352217427,0.2678620134,-0.4148602447,0.1152089866,2025-04,334
top3_mean_consumption,-11,0.0404663959,0.1399423358,0.7724552763,-0.2338205823,0.3147533742,2025-04,334
top3_mean_consumption,-10,0.0236320108,0.1366856379,0.8627354141,-0.2442718394,0.291535861,2025-04,334
top3_mean_consumption,-9,0.054028814,0.1481974506,0.7154300476,-0.2364381893,0.3444958172,2025-04,334
top3_mean_consumption,-8,0.1142749084,0.1345536531,0.3957206206,-0.1494502517,0.3780000685,2025-04,334
top3_mean_consumption,-7,0.1633786252,0.1271719196,0.1988947741,-0.0858783372,0.4126355876,2025-04,334
top3_mean_consumption,-6,0.0550552374,0.1120654141,0.6232300594,-0.1645929742,0.274703449,2025-04,334
top3_mean_consumption,-5,-0.0261289667,0.1022361473,0.7982793016,-0.2265118153,0.174253882,2025-04,334
top3_mean_consumption,-4,-0.1089068507,0.1037424154,0.2938186617,-0.3122419849,0.0944282835,2025-04,334
top3_mean_consumption,-3,-0.0297409676,0.0995526541,0.7651337761,-0.2248641697,0.1653822344,2025-04,334
top3_mean_consumption,-2,-0.1247442808,0.0816256521,0.1264508498,-0.2847305588,0.0352419973,2025-04,334
top3_mean_consumption,0,0.4456836282,0.1040033614,1.82508e-05,0.2418370398,0.6495302165,2025-04,334
top3_mean_consumption,1,0.3960514423,0.1218418747,0.0011518754,0.1572413678,0.6348615168,2025-04,334
top3_mean_consumption,2,0.3558838506,0.137383905,0.0095855179,0.0866113968,0.6251563045,2025-04,334
top3_mean_consumption,3,0.3703009858,0.1438213971,0.0100318928,0.0884110474,0.6521909241,2025-04,334
top3_mean_consumption,4,0.4822023786,0.1448105488,0.0008688207,0.198373703,0.7660310542,2025-04,334
top3_mean_consumption,5,0.5419212243,0.1334534469,4.89151e-05,0.2803524683,0.8034899803,2025-04,334
top3_mean_consumption,6,0.4848319785,0.1226062942,7.67331e-05,0.2445236418,0.7251403152,2025-04,334
top3_mean_consumption,-12,-0.225918553,0.2486719055,0.3636138444,-0.7133154878,0.2614783818,2025-05,140
top3_mean_consumption,-11,-0.0240315448,0.2615007208,0.9267786199,-0.5365729576,0.4885098679,2025-05,140
top3_mean_consumption,-10,0.0679700697,0.2479117187,0.7839536288,-0.4179368989,0.5538770383,2025-05,140
top3_mean_consumption,-9,0.1434718224,0.2282655172,0.5296565225,-0.3039285913,0.590872236,2025-05,140
top3_mean_consumption,-8,0.0742938245,0.2139246513,0.7283737001,-0.344998492,0.4935861411,2025-05,140
top3_mean_consumption,-7,-0.155495017,0.218715593,0.4771175829,-0.5841775793,0.2731875453,2025-05,140
top3_mean_consumption,-6,-0.0575475998,0.2152874364,0.7892336522,-0.4795109752,0.3644157756,2025-05,140
top3_mean_consumption,-5,0.0594701547,0.1842804526,0.7469107276,-0.3017195325,0.4206598419,2025-05,140
top3_mean_consumption,-4,0.1156337666,0.1932958165,0.5496919635,-0.2632260338,0.494493567,2025-05,140
top3_mean_consumption,-3,0.0201677416,0.1928672904,0.9167186292,-0.3578521477,0.3981876309,2025-05,140
top3_mean_consumption,-2,0.088335393,0.1502430154,0.5565658001,-0.2061409172,0.3828117031,2025-05,140
top3_mean_consumption,0,0.4311141159,0.1915153397,0.0243812099,0.0557440501,0.8064841818,2025-05,140
top3_mean_consumption,1,0.6666375571,0.1856604254,0.0003298819,0.3027431234,1.0305319908,2025-05,140
top3_mean_consumption,2,0.5689064035,0.2427748912,0.0191114744,0.0930676168,1.0447451902,2025-05,140
top3_mean_consumption,3,0.5930070888,0.231278428,0.0103461687,0.13970137,1.0463128077,2025-05,140
top3_mean_consumption,4,0.7255963173,0.2249492551,0.0012570891,0.2846957773,1.1664968573,2025-05,140
top3_mean_consumption,5,0.6531020188,0.2080554057,0.0016948068,0.2453134236,1.060890614,2025-05,140
top3_mean_consumption,6,0.3563359935,0.1989682438,0.073306306,-0.0336417642,0.7463137513,2025-05,140
top3_mean_consumption,-12,0.0334551759,0.2400389283,0.8891546486,-0.4370211235,0.5039314754,2025-06,125
top3_mean_consumption,-11,-0.0021905223,0.2460444719,0.9928965652,-0.4844376873,0.4800566426,2025-06,125
top3_mean_consumption,-10,0.00715876,0.2424974618,0.9764490955,-0.4681362651,0.4824537851,2025-06,125
top3_mean_consumption,-9,0.0937059928,0.2420414721,0.6986462742,-0.3806952925,0.5681072781,2025-06,125
top3_mean_consumption,-8,-0.106424226,0.241358652,0.6592578085,-0.5794871838,0.3666387319,2025-06,125
top3_mean_consumption,-7,-0.1406638295,0.2524179257,0.5773459682,-0.6354029638,0.3540753049,2025-06,125
top3_mean_consumption,-6,-0.3148237866,0.2423420566,0.1939135481,-0.7898142175,0.1601666443,2025-06,125
top3_mean_consumption,-5,-0.4400210324,0.2574315997,0.0874002846,-0.9445869679,0.0645449031,2025-06,125
top3_mean_consumption,-4,-0.4545999648,0.2600314555,0.0804207652,-0.9642616176,0.055061688,2025-06,125
top3_mean_consumption,-3,-0.1871530336,0.2286730091,0.4131112411,-0.6353521314,0.2610460642,2025-06,125
top3_mean_consumption,-2,-0.0182234336,0.165978641,0.9125728705,-0.3435415701,0.3070947029,2025-06,125
top3_mean_consumption,0,0.2231291024,0.1917192835,0.2444919632,-0.1526406932,0.598898898,2025-06,125
top3_mean_consumption,1,0.1212309888,0.2281218924,0.5951203162,-0.3258879203,0.5683498979,2025-06,125
top3_mean_consumption,2,0.4282459488,0.1949753911,0.0280625922,0.0460941823,0.8103977153,2025-06,125
top3_mean_consumption,3,0.4726352304,0.2108939688,0.0250193658,0.0592830516,0.8859874092,2025-06,125
top3_mean_consumption,4,0.4118202848,0.2097365845,0.0495867202,0.0007365792,0.8229039904,2025-06,125
top3_mean_consumption,5,0.1863104288,0.2200542236,0.3971863835,-0.2449958494,0.617616707,2025-06,125
top3_mean_consumption,6,0.0531594688,0.2267883129,0.814673472,-0.3913456244,0.497664562,2025-06,125
top3_mean_consumption,-12,-0.7425966003,0.335148887,0.0267105803,-1.3994884188,-0.0857047818,2025-07,64
