event_time,coef,std_error,t_stat,p_value,n_treated,n_control,ci_lower,ci_upper,cohort_month,cohort_event_month,target_month_flag,new_event_time
-26,-0.042533591,0.102994694,-0.412968757,0.679629504,620,3020,-0.244399481,0.1593323,3,1,1,-12
-25,0.105074223,0.106304829,0.988423803,0.322945135,620,3023,-0.103279413,0.31342786,3,2,1,-11
-24,0.10529579,0.112200473,0.938461193,0.348007451,617,3001,-0.114613096,0.325204675,3,3,1,-10
-16,0.060123401,0.113567002,0.529409069,0.596521708,624,3030,-0.162463832,0.282710634,3,11,1,-9
-15,0.147475329,0.116208267,1.269060557,0.204419467,624,3030,-0.08028869,0.375239347,3,12,1,-8
-14,0.060702668,0.124216929,0.488682734,0.62506633,624,3030,-0.182758038,0.304163375,3,1,1,-7
-13,0.046904435,0.110018173,0.426333516,0.669864839,624,3030,-0.168727223,0.262536092,3,2,1,-6
-12,0.028651065,0.104855314,0.273243806,0.784665809,624,3031,-0.176861575,0.234163705,3,3,1,-5
-4,-0.006626915,0.113113961,-0.058586178,0.95328172,625,3053,-0.228326204,0.215072374,3,11,1,-4
-3,-0.005550803,0.110794886,-0.05009981,0.960042851,625,3070,-0.22270479,0.211603184,3,12,1,-3
-2,0.02144543,0.113577186,0.188818118,0.850235371,625,3125,-0.201161763,0.244052623,3,1,1,-2
-1,-0.03240372,0.110426489,-0.293441546,0.769184673,625,3125,-0.248835661,0.184028222,3,2,1,-1
0,-0.678523416,0.096500132,-7.031321152,0,625,3125,-0.867660198,-0.489386634,3,3,1,0
8,-0.887104894,0.103844471,-8.542629974,0,625,3124,-1.090636318,-0.68357347,3,11,1,1
9,-0.86810602,0.102390138,-8.478414365,0,625,3124,-1.068787003,-0.667425036,3,12,1,2
10,-0.906805848,0.117091209,-7.744440066,0,625,3124,-1.1363004,-0.677311296,3,1,1,3
11,-0.967050469,0.113047229,-8.554393376,0,625,3124,-1.188618967,-0.745481971,3,2,1,4
-27,0.031229521,0.141058135,0.221394684,0.824785132,333,1638,-0.245239344,0.307698386,4,1,1,-13
-26,-0.012706692,0.13975953,-0.090918252,0.927557547,333,1638,-0.286630338,0.261216953,4,2,1,-12
-25,-0.024204961,0.147922344,-0.163632892,0.87002015,331,1621,-0.314127428,0.265717506,4,3,1,-11
-17,0.008154611,0.155019031,0.052603934,0.958047483,334,1643,-0.295677107,0.311986329,4,11,1,-10
-16,0.024626238,0.159328779,0.1545624,0.877166314,334,1645,-0.28765243,0.336904907,4,12,1,-9
-15,-0.004938968,0.172573987,-0.028619424,0.97716812,334,1645,-0.343177768,0.333299831,4,1,1,-8
-14,0.059608661,0.152844007,0.389996719,0.696538973,334,1648,-0.239960087,0.359177409,4,2,1,-7
-13,-0.030814587,0.134516693,-0.229076303,0.818809611,334,1648,-0.294462459,0.232833286,4,3,1,-6
-5,0.0157781,0.150447065,0.10487476,0.916475187,334,1648,-0.279092729,0.310648929,4,11,1,-5
-4,0.02447794,0.152108497,0.160924213,0.872153092,334,1649,-0.273649235,0.322605115,4,12,1,-4
-3,0.024771302,0.152834731,0.16207901,0.871243635,334,1661,-0.274779267,0.324321871,4,1,1,-3
-2,-0.050006585,0.149304579,-0.334930017,0.737677878,334,1670,-0.342638182,0.242625012,4,2,1,-2
-1,-0.003013899,0.131798495,-0.022867477,0.981755983,334,1668,-0.261334203,0.255306405,4,3,1,-1
7,-0.690513262,0.140489262,-4.915060786,8.875e-07,334,1667,-0.965867156,-0.415159369,4,11,1,1
8,-0.587305028,0.14338149,-4.096100759,4.20167e-05,334,1666,-0.868327583,-0.306282472,4,12,1,2
9,-0.692173843,0.162788698,-4.251977252,2.11891e-05,334,1666,-1.011233829,-0.373113857,4,1,1,3
10,-0.734538398,0.160362483,-4.580487801,4.6389e-06,334,1666,-1.048843089,-0.420233706,4,2,1,4
-28,0.016996421,0.208611041,0.081474214,0.935064831,140,679,-0.391873707,0.425866548,5,1,1,-13
-27,0.089566385,0.215973403,0.414710256,0.678354024,140,680,-0.333733706,0.512866476,5,2,1,-12
-26,0.084875969,0.218382146,0.388658006,0.697529151,139,681,-0.343145172,0.51289711,5,3,1,-11
-18,0.000676433,0.24473649,0.002763925,0.99779471,140,685,-0.478998274,0.48035114,5,11,1,-10
-17,0.003341232,0.238612015,0.014002783,0.988827761,140,685,-0.464329722,0.471012187,5,12,1,-9
-16,-0.192354046,0.265396864,-0.724778894,0.468587686,140,685,-0.712522341,0.327814249,5,1,1,-8
-15,-0.030453716,0.226769917,-0.134293457,0.893170527,140,685,-0.474914586,0.414007154,5,2,1,-7
-14,-0.114887952,0.220051665,-0.522095355,0.601603941,140,685,-0.546181291,0.316405386,5,3,1,-6
-6,0.015438201,0.2578173,0.059880392,0.952250897,140,686,-0.489874422,0.520750824,5,11,1,-5
-5,0.002709194,0.213312816,0.012700569,0.989866685,140,686,-0.415376242,0.42079463,5,12,1,-4
-4,0.068441005,0.23611118,0.289867703,0.771917451,140,692,-0.394328404,0.531210414,5,1,1,-3
-3,-0.023370466,0.247451727,-0.094444545,0.924756032,140,700,-0.508366939,0.461626007,5,2,1,-2
-2,0.030215883,0.22251675,0.135791498,0.891986112,140,697,-0.405908933,0.466340699,5,3,1,-1
6,-0.895402459,0.205005366,-4.367702536,1.2556e-05,140,698,-1.297205594,-0.493599324,5,11,1,1
7,-0.864773809,0.197345186,-4.382036514,1.17575e-05,140,697,-1.251563265,-0.477984353,5,12,1,2
8,-1.05173887,0.241119114,-4.361905838,1.28934e-05,140,697,-1.524323649,-0.579154091,5,1,1,3
9,-1.108277707,0.230526972,-4.807583668,1.5277e-06,140,697,-1.56010227,-0.656453144,5,2,1,4
-29,-0.023069515,0.255849956,-0.090168142,0.9281536,125,619,-0.524526214,0.478387184,6,1,1,-13
-28,-0.122929978,0.251040336,-0.489682175,0.624358817,125,619,-0.614959994,0.369100039,6,2,1,-12
-27,-0.04203137,0.259603555,-0.161905988,0.871379887,125,613,-0.550844988,0.466782248,6,3,1,-11
-19,0.148829217,0.310967955,0.47859985,0.632223325,125,622,-0.460656776,0.75831521,6,11,1,-10
-18,0.320031633,0.306649134,1.043641079,0.29665148,125,622,-0.280989626,0.921052892,6,12,1,-9
-17,0.145696754,0.336714135,0.432701628,0.665231547,125,623,-0.514250824,0.805644332,6,1,1,-8
-16,0.23945234,0.295651443,0.809914329,0.417989416,125,623,-0.34001384,0.81891852,6,2,1,-7
-15,0.252146992,0.283765881,0.888574029,0.374232054,125,623,-0.304023915,0.808317898,6,3,1,-6
-7,0.010500364,0.265301323,0.039579013,0.96842876,125,623,-0.509480674,0.530481403,6,11,1,-5
-6,-0.03429986,0.263208335,-0.130314492,0.896317615,125,623,-0.550178718,0.481578997,6,12,1,-4
-5,-0.019197629,0.283835636,-0.067636431,0.946075055,125,624,-0.575505253,0.537109995,6,1,1,-3
-4,0.005003731,0.285970929,0.017497342,0.986039853,125,625,-0.555488989,0.565496452,6,2,1,-2
-3,0.004077851,0.262817969,0.015515877,0.987620618,125,625,-0.511035902,0.519191604,6,3,1,-1
5,-0.809943499,0.231321449,-3.501376563,0.000462861,125,625,-1.263325208,-0.356561791,6,11,1,1
6,-0.583073563,0.241878273,-2.410607439,0.01592598,125,625,-1.057146266,-0.10900086,6,12,1,2
7,-0.779043733,0.279891607,-2.78337654,0.005379633,125,625,-1.327621202,-0.230466263,6,1,1,3
8,-0.956561582,0.272423634,-3.511301755,0.000445918,125,625,-1.490502093,-0.422621072,6,2,1,4
-30,0.415301121,0.376456853,1.103183851,0.269947333,64,313,-0.322540753,1.153142995,7,1,1,-13
-29,0.358585131,0.326742352,1.097455313,0.272442405,64,315,-0.281818112,0.998988373,7,2,1,-12
-28,0.448700239,0.357644118,1.2545998,0.209624076,63,313,-0.252269351,1.149669828,7,3,1,-11
