new_event_time,effect,se,p_value,ci_low,ci_high,n_control,n_treated,cohort_group,cohort_group
-13,0.058604001,0.23424653090287142,0.21644811721123594,0.8130485408706616,-0.400510763,0.5177187650019974,961.1847690387016,801,2025-04 to 2025-10
-12,0.034218061830337085,0.22836495892821473,0.079956131,0.7498521936765292,-0.413369033,0.4818051566598002,961.5193508114857,801,2025-04 to 2025-10
-11,0.070997474,0.2432118908396487,0.14781725646662483,0.7062478028984943,-0.405689073,0.5476840204368884,952.7867001254705,797,2025-04 to 2025-10
-10,0.089058903,0.2699629125561097,0.23328721256009977,0.8087718767664589,-0.440058683,0.6181764886128428,965.8466334164589,802,2025-04 to 2025-10
-9,0.15508447171857856,0.2643390265273068,0.4552496736233167,0.7059223877714463,-0.3630105,0.6731794433952618,966.7418952618453,802,2025-04 to 2025-10
-8,0.025568954,0.28962497688453864,0.006088747,0.7859489965279302,-0.542085569,0.5932234778995013,966.8977556109726,802,2025-04 to 2025-10
-7,0.15232416858279302,0.2604387486466334,0.4909039327465088,0.6112826990899002,-0.358126399,0.6627747361182045,968.1471322,802,2025-04 to 2025-10
-6,0.10829556721097257,0.24186205817281795,0.2071285899435162,0.5976405270584787,-0.365745356,0.5823364904270574,968.1471322,802,2025-04 to 2025-10
-5,0.019456167481670825,0.25057421951246883,0.079772193,0.9355612617094764,-0.471660278,0.5105726131860349,968.3840399002494,802,2025-04 to 2025-10
-4,0.006484299,0.23640270467281796,0.052824320800748135,0.9218048746038652,-0.456856488,0.469825086,968.9127182044888,802,2025-04 to 2025-10
-3,0.018858549811596008,0.2531625919906484,0.10563243983990026,0.8806941805038654,-0.477331013,0.5150481123603492,975.2244389027431,802,2025-04 to 2025-10
-2,-0.029176753,0.2537975757082294,-0.168662408,0.8531378273952619,-0.52661086,0.4682573550226933,981.0798004987531,802,2025-04 to 2025-10
-1,-0.001452772,0.2343070382723192,-0.003187573,0.951784236,-0.460686128,0.45778058475436406,979.6733167082294,802,2025-04 to 2025-10
1,-0.74027429,0.22478513581159598,-3.81123974,0.020785636320324187,-1.18084506,-0.299703519,979.3690773067332,802,2025-04 to 2025-10
2,-0.692632483,0.2231095016123441,-3.448577442,0.014115508389650873,-1.129919071,-0.255345895,978.7780548628429,802,2025-04 to 2025-10
3,-0.755853537,0.26578963515149623,-3.347359897,0.045587639,-1.276791649,-0.234915424,978.7780548628429,802,2025-04 to 2025-10
4,-0.861239994,0.25531097106720696,-3.807658701,0.014367906176558603,-1.361640302,-0.360839686,978.7780548628429,802,2025-04 to 2025-10
