outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,n_treated,cohort_month,cohort_event_month,target_month_flag,new_event_time
top3_mean_consumption,-12,0.076270665,0.082280397,0.353947124,-0.084998912,0.237540242,625,3,3,1,-5
top3_mean_consumption,-4,0.037372672,0.072820252,0.607798755,-0.105355021,0.180100366,625,3,11,1,-4
top3_mean_consumption,-3,0.03926061,0.075466789,0.602898454,-0.108654297,0.187175517,625,3,12,1,-3
top3_mean_consumption,-2,0.05384915,0.074023845,0.466946167,-0.091237587,0.198935887,625,3,1,1,-2
top3_mean_consumption,0,-0.646119696,0.073447009,1.404139561e-18,-0.790075834,-0.502163559,625,3,3,1,0
top3_mean_consumption,-5,0.015952238,0.100047162,0.873316567,-0.1801402,0.212044676,334,4,11,1,-5
top3_mean_consumption,-4,0.022183481,0.096690391,0.818536295,-0.167329685,0.211696646,334,4,12,1,-4
top3_mean_consumption,-3,0.019114386,0.087647819,0.827365448,-0.152675339,0.190904112,334,4,1,1,-3
top3_mean_consumption,-2,-0.049253813,0.088234558,0.576697897,-0.222193546,0.123685921,334,4,2,1,-2
top3_mean_consumption,-6,152456283337.04053,,,,,140,5,11,1,-6
top3_mean_consumption,-5,152456283337.01978,2.429225263e+19,0.999999995,-4.76E+19,4.76128153e+19,140,5,12,1,-5
top3_mean_consumption,-4,1.52456E+11,,,,,140,5,1,1,-4
top3_mean_consumption,-3,152456283337.01172,,,,,140,5,2,1,-3
top3_mean_consumption,-2,152456283337.08514,,,,,140,5,3,1,-2
top3_mean_consumption,6,152456283336.14267,,,,,140,5,11,1,1
top3_mean_consumption,-7,22399047786626.977,,,,,125,6,11,1,-6
top3_mean_consumption,-6,22399047786626.914,6.655356127e+19,0.999999732,-1.30E+20,1.304450025e+20,125,6,12,1,-5
top3_mean_consumption,-5,22399047786627.062,5.728018543e+19,0.999999688,-1.12E+20,1.122691858e+20,125,6,1,1,-4
top3_mean_consumption,-4,22399047786626.934,3.622717015e+19,0.999999507,-7.10E+19,7.100527589e+19,125,6,2,1,-3
top3_mean_consumption,-3,2.2399E+13,6.142615558e+19,0.999999709,-1.20E+20,1.203952873e+20,125,6,3,1,-2
top3_mean_consumption,5,22399047786626.234,39936405951765.695,0.5748876,-5.58763E+13,100674403452087.0,125,6,11,1,1
top3_mean_consumption,6,22399047786626.44,4.248012245e+19,0.999999579,-8.33E+19,8.32610624e+19,125,6,12,1,2
top3_mean_consumption,-8,-1.06223E+13,,,,,64,7,11,1,-6
top3_mean_consumption,-7,-1.06223E+13,,,,,64,7,12,1,-5
