outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,n_treated,cohort_month,cohort_event_month,target_month_flag,new_event_time
top3_mean_consumption,-12,-0.3610533421,0.107460714,0.0007798096,-0.5716763416,-0.1504303426,625,3,3,1,-5
top3_mean_consumption,-11,-0.358373801,0.105647252,0.0006934054,-0.565442415,-0.1513051871,625,3,4,0,
top3_mean_consumption,-10,-0.3099870503,0.1154248732,0.0072395931,-0.5362198017,-0.0837542989,625,3,5,0,
top3_mean_consumption,-9,-0.27398405,0.1174879458,0.0196997238,-0.5042604238,-0.0437076762,625,3,6,0,
top3_mean_consumption,-8,-0.201147951,0.1186868019,0.0901172701,-0.4337740826,0.0314781806,625,3,7,0,
top3_mean_consumption,-7,-0.1142631407,0.1143110347,0.3175133119,-0.3383127687,0.1097864873,625,3,8,0,
top3_mean_consumption,-6,-0.0924304523,0.1039041171,0.3736944074,-0.2960825218,0.1112216172,625,3,9,0,
top3_mean_consumption,-5,-0.1158555223,0.0941838823,0.2186599433,-0.3004559316,0.0687448869,625,3,10,0,
top3_mean_consumption,-4,-0.0560887637,0.0828151665,0.4982305564,-0.21840649,0.1062289626,625,3,11,1,-4
top3_mean_consumption,-3,0.0154623833,0.0734180698,0.833193696,-0.1284370335,0.1593618001,625,3,12,1,-3
top3_mean_consumption,-2,-0.0604643389,0.0580330522,0.2974604267,-0.1742091212,0.0532804434,625,3,1,1,-2
top3_mean_consumption,0,0.6482450045,0.0901558751,0.0,0.4715394894,0.8249505196,625,3,3,1,0
top3_mean_consumption,1,0.3307842138,0.1043602309,0.0015262866,0.1262381613,0.5353302662,625,3,4,0,
top3_mean_consumption,2,0.2479358787,0.114119291,0.0298102332,0.0242620683,0.4716096892,625,3,5,0,
top3_mean_consumption,3,0.390932055,0.1223540262,0.0013978752,0.1511181637,0.6307459464,625,3,6,0,
top3_mean_consumption,4,0.449128937,0.1267532143,0.0003951024,0.200692637,0.6975652369,625,3,7,0,
top3_mean_consumption,5,0.4956573837,0.1229357436,5.53416e-05,0.2547033262,0.7366114411,625,3,8,0,
top3_mean_consumption,6,0.5758400565,0.1183753026,1.1473e-06,0.3438244635,0.8078556496,625,3,9,0,
top3_mean_consumption,-12,-0.2594097094,0.1385100735,0.0610879861,-0.5308894534,0.0120700347,334,4,4,0,
top3_mean_consumption,-11,-0.0691176844,0.1417712844,0.6258831372,-0.3469894018,0.2087540329,334,4,5,0,
top3_mean_consumption,-10,-0.0859520695,0.1389891551,0.536306122,-0.3583708136,0.1864666746,334,4,6,0,
top3_mean_consumption,-9,-0.0555552664,0.1502540996,0.7115746596,-0.3500533016,0.2389427688,334,4,7,0,
top3_mean_consumption,-8,0.004690828,0.1361549671,0.9725166179,-0.2621729074,0.2715545635,334,4,8,0,
top3_mean_consumption,-7,0.0537945448,0.1288426327,0.6762971405,-0.1987370154,0.306326105,334,4,9,0,
top3_mean_consumption,-6,-0.054528843,0.1139541089,0.6322831229,-0.2778788965,0.1688212106,334,4,10,0,
top3_mean_consumption,-5,0.0278205758,0.1042882737,0.7896492585,-0.1765844407,0.2322255924,334,4,11,1,-5
top3_mean_consumption,-4,-0.1042513605,0.1057889007,0.3243952446,-0.3115976059,0.103094885,334,4,12,1,-4
top3_mean_consumption,-3,-0.0102067397,0.1002160637,0.9188778474,-0.2066302245,0.1862167451,334,4,1,1,-3
top3_mean_consumption,-2,-0.1314697083,0.0843664782,0.1191581459,-0.2968280056,0.0338885889,334,4,2,1,-2
top3_mean_consumption,0,0.3352922722,0.1064554431,0.0016349305,0.1266396037,0.5439449407,334,4,4,0,0
top3_mean_consumption,1,0.2856600863,0.1242560362,0.0215070146,0.0421182554,0.5292019173,334,4,5,0,
top3_mean_consumption,2,0.2454924947,0.1399005558,0.0792996399,-0.0287125947,0.519697584,334,4,6,0,
top3_mean_consumption,3,0.2599096298,0.1453867389,0.0738224714,-0.0250483785,0.5448676381,334,4,7,0,
top3_mean_consumption,4,0.3718110226,0.14552482,0.0106198054,0.0865823755,0.6570396697,334,4,8,0,
