cohort,outcome,coef,std_error,p_value,ci_lower,ci_upper,n_treated,n_periods,n_obs,n_entities
2025-03,top3_mean_consumption,0.6850089303,0.0918098935,0.0,0.5050615391,0.8649563215,625,5,60008,3549
2025-04,top3_mean_consumption,0.4731336236,0.120287031,8.37625e-05,0.2373710428,0.7088962044,334,5,35115,1960
2025-05,top3_mean_consumption,0.5484716855,0.2049394644,0.0074448438,0.1467903353,0.9501530357,140,5,14700,824
2025-06,top3_mean_consumption,0.3666805266,0.2179890726,0.0925484653,-0.0605780557,0.793939109,125,5,13387,746
2025-07,top3_mean_consumption,0.7224554654,0.3353350393,0.0312065602,0.0651987885,1.3797121424,64,5,6766,379
2025-08,top3_mean_consumption,1.1597832594,0.3436730914,0.0007390426,0.4861840002,1.8333825186,40,5,4281,240
2025-09,top3_mean_consumption,0.6146011147,0.3714498257,0.0980055362,-0.1134405438,1.3426427731,49,5,5179,289
2025-10,top3_mean_consumption,1.2988841182,0.4189689318,0.0019339525,0.4777050118,2.1200632246,50,5,5349,300
2025-11,top3_mean_consumption,0.3079723843,0.2367734015,0.1933593967,-0.1561034828,0.7720482513,148,4,14774,878
2025-12,top3_mean_consumption,0.5560644748,0.2327143545,0.0168726019,0.0999443399,1.0121846097,121,3,11945,710
