cohort,outcome,coef,std_error,p_value,ci_lower,ci_upper,n_treated,n_periods,n_obs,n_entities
2025-03,top3_mean_consumption,0.7687217752,0.0915671886,4.652353096e-17,0.5892500856,0.9481934647,625,12,134082,3549
2025-04,top3_mean_consumption,0.5457431876,0.120331076,5.7509e-06,0.3098942787,0.7815920965,334,11,74080,1960
2025-05,top3_mean_consumption,0.6483624223,0.21376442,0.0024207954,0.2293841591,1.0673406855,140,10,31022,824
2025-06,top3_mean_consumption,0.3498827945,0.2115945103,0.0982183141,-0.0648424458,0.7646080348,125,9,28239,746
2025-07,top3_mean_consumption,0.7039997354,0.3276837149,0.0316810137,0.0617396542,1.3462598166,64,8,14275,379
2025-08,top3_mean_consumption,1.3165830436,0.3283663981,6.0849e-05,0.6729849032,1.9601811839,40,7,9024,240
2025-09,top3_mean_consumption,0.6094236543,0.3591108137,0.0896900255,-0.0944335406,1.3132808492,49,6,10931,289
2025-10,top3_mean_consumption,1.1542238341,0.4180557983,0.005763659,0.3348344695,1.9736131988,50,5,11282,300
2025-11,top3_mean_consumption,0.156456706,0.2219240778,0.4808095882,-0.2785144866,0.5914278985,148,4,33004,878
2025-12,top3_mean_consumption,0.6611135554,0.2316914647,0.0043251125,0.2069982845,1.1152288263,121,3,26706,710
