outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,-12,-0.5660291408,0.1290005956,1.14502e-05,-0.8188703082,-0.3131879734,2025-03,625
top3_mean_consumption,-11,-0.4254449278,0.1302727067,0.0010915436,-0.6807794328,-0.1701104227,2025-03,625
top3_mean_consumption,-10,-0.4901102228,0.1282727526,0.0001329956,-0.7415248179,-0.2386956278,2025-03,625
top3_mean_consumption,-9,-0.4063659109,0.1151739004,0.0004182675,-0.6321067557,-0.1806250661,2025-03,625
top3_mean_consumption,-8,-0.4105974833,0.1136079335,0.0003013205,-0.633269033,-0.1879259336,2025-03,625
top3_mean_consumption,-7,-0.3782526531,0.1151577353,0.0010210976,-0.6039618143,-0.152543492,2025-03,625
top3_mean_consumption,-6,-0.3635737698,0.1090444786,0.000855517,-0.5773009478,-0.1498465918,2025-03,625
top3_mean_consumption,-5,-0.3233803278,0.1058217391,0.0022438838,-0.5307909364,-0.1159697192,2025-03,625
top3_mean_consumption,-4,-0.0996976476,0.0816433705,0.2220345836,-0.2597186538,0.0603233586,2025-03,625
top3_mean_consumption,-3,0.0022821153,0.0723765827,0.9748459676,-0.1395759867,0.1441402174,2025-03,625
top3_mean_consumption,-2,-0.0823363149,0.0579718465,0.1555258762,-0.195961134,0.0312885042,2025-03,625
top3_mean_consumption,0,0.6245135952,0.0879969776,0.0,0.4520395191,0.7969876713,2025-03,625
top3_mean_consumption,1,0.5354269224,0.1024501665,1.73e-07,0.334624596,0.7362292487,2025-03,625
top3_mean_consumption,2,0.4345217168,0.1046876549,3.31534e-05,0.2293339133,0.6397095204,2025-03,625
top3_mean_consumption,3,0.1510358137,0.1008815324,0.1343515827,-0.0466919899,0.3487636172,2025-03,625
top3_mean_consumption,4,0.2152004328,0.105594593,0.0415512093,0.0082350305,0.422165835,2025-03,625
top3_mean_consumption,-12,-0.4808030062,0.1553798149,0.0019722977,-0.7853474434,-0.176258569,2025-04,334
top3_mean_consumption,-11,-0.5003174357,0.1572185322,0.001461075,-0.8084657587,-0.1921691126,2025-04,334
top3_mean_consumption,-10,-0.3322860859,0.1429950469,0.0201383923,-0.6125563777,-0.052015794,2025-04,334
top3_mean_consumption,-9,-0.3230720651,0.1329645873,0.0151088147,-0.5836826562,-0.0624614739,2025-04,334
top3_mean_consumption,-8,-0.3283536373,0.1368721875,0.0164408136,-0.5966231247,-0.0600841499,2025-04,334
top3_mean_consumption,-7,-0.2720193678,0.126577726,0.0316319986,-0.5201117108,-0.0239270248,2025-04,334
top3_mean_consumption,-6,-0.2481274854,0.1279554811,0.0524805889,-0.4989202284,0.0026652575,2025-04,334
top3_mean_consumption,-5,-0.026408764,0.1023646183,0.7964167651,-0.2270434158,0.1742258878,2025-04,334
top3_mean_consumption,-4,-0.1093842118,0.1038672581,0.2922880935,-0.3129640377,0.0941956141,2025-04,334
top3_mean_consumption,-3,-0.0269725126,0.0996608804,0.786665675,-0.2223078381,0.1683628129,2025-04,334
top3_mean_consumption,-2,-0.1236527617,0.0816329887,0.1298382346,-0.2836534196,0.0363478963,2025-04,334
top3_mean_consumption,0,0.4456836282,0.104003077,1.82499e-05,0.2418375972,0.6495296591,2025-04,334
top3_mean_consumption,1,0.2511876952,0.1298773468,0.0531084832,-0.0033719046,0.505747295,2025-04,334
top3_mean_consumption,2,0.2562431126,0.1275552426,0.0445499139,0.0062348371,0.5062513881,2025-04,334
top3_mean_consumption,3,0.0228688186,0.1277747304,0.8579552656,-0.2275696529,0.2733072901,2025-04,334
top3_mean_consumption,4,0.1481034308,0.1313053899,0.259349025,-0.1092551334,0.405461995,2025-04,334
top3_mean_consumption,-12,-0.3584444165,0.2699492364,0.1842370623,-0.8875449198,0.1706560868,2025-05,140
top3_mean_consumption,-11,-0.3523707908,0.2711849121,0.1938153989,-0.8838932186,0.1791516369,2025-05,140
top3_mean_consumption,-10,-0.3869402007,0.245478459,0.1149637142,-0.8680779803,0.0941975789,2025-05,140
top3_mean_consumption,-9,-0.4711581919,0.2521832043,0.0617178851,-0.9654372723,0.0231208885,2025-05,140
top3_mean_consumption,-8,-0.5661790463,0.2578708207,0.0281211773,-1.0716058549,-0.0607522377,2025-05,140
top3_mean_consumption,-7,-0.4146427193,0.2491453938,0.0960604774,-0.9029676912,0.0736822527,2025-05,140
top3_mean_consumption,-6,-0.4228677812,0.2595325106,0.1032401821,-0.931551502,0.0858159396,2025-05,140
top3_mean_consumption,-5,-0.1371084311,0.1840846632,0.4563854947,-0.497914371,0.2236975088,2025-05,140
top3_mean_consumption,-4,-0.0200906766,0.1492604151,0.8929269513,-0.3126410902,0.272459737,2025-05,140
top3_mean_consumption,-3,0.0360233472,0.138285181,0.7944777943,-0.2350156076,0.307062302,2025-05,140
top3_mean_consumption,-2,-0.0626642239,0.1299790519,0.6297276795,-0.3174231657,0.1920947178,2025-05,140
top3_mean_consumption,0,0.3427787229,0.2358757256,0.1461633858,-0.1195376993,0.8050951451,2025-05,140
top3_mean_consumption,1,0.2706680917,0.2247303705,0.2284301413,-0.1698034346,0.7111396179,2025-05,140
top3_mean_consumption,2,0.4353139596,0.2264376199,0.0545497383,-0.0085037754,0.8791316946,2025-05,140
top3_mean_consumption,3,0.0843184449,0.2337704513,0.7183319019,-0.3738716396,0.5425085294,2025-05,140
top3_mean_consumption,4,0.2331613453,0.239087994,0.329455392,-0.2354511229,0.7017738134,2025-05,140
top3_mean_consumption,-12,-0.5887174498,0.2954962822,0.046338075,-1.1678901629,-0.0095447368,2025-06,125
top3_mean_consumption,-11,-0.3458187345,0.2856131357,0.2259742801,-0.9056204806,0.2139830115,2025-06,125
top3_mean_consumption,-10,-0.0920517636,0.2529081766,0.7158781248,-0.5877517897,0.4036482626,2025-06,125
top3_mean_consumption,-9,0.0824728059,0.2356202289,0.7263204602,-0.3793428426,0.5442884545,2025-06,125
top3_mean_consumption,-8,-0.1251538882,0.266829778,0.6390409132,-0.6481402532,0.3978324767,2025-06,125
top3_mean_consumption,-7,0.009984528,0.2394617115,0.9667412677,-0.4593604266,0.4793294825,2025-06,125
top3_mean_consumption,-6,0.0569201829,0.2259491033,0.8011060311,-0.3859400596,0.4997804254,2025-06,125
top3_mean_consumption,-5,0.0489833177,0.1968380939,0.8034761918,-0.3368193463,0.4347859818,2025-06,125
top3_mean_consumption,-4,-0.1251766394,0.1818908044,0.4913289632,-0.4816826161,0.2313293373,2025-06,125
top3_mean_consumption,-3,-0.2490925064,0.182276095,0.1717610494,-0.6063536526,0.1081686398,2025-06,125
top3_mean_consumption,-2,-0.2674469312,0.1400151203,0.0561166155,-0.5418765669,0.0069827045,2025-06,125
top3_mean_consumption,0,0.410282136,0.2914385277,0.1591954057,-0.1609373783,0.9815016503,2025-06,125
top3_mean_consumption,1,0.3734634624,0.2425910817,0.1236878166,-0.1020150578,0.8489419826,2025-06,125
top3_mean_consumption,2,0.2403125024,0.2510381984,0.3384286491,-0.2517223664,0.7323473712,2025-06,125
top3_mean_consumption,3,0.0390074624,0.2698327462,0.8850569915,-0.4898647201,0.5678796449,2025-06,125
top3_mean_consumption,4,0.0425461648,0.2557732714,0.8678868083,-0.4587694472,0.5438617768,2025-06,125
