outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort_group,n_treated
top3_mean_consumption,-12,-0.4757714658,0.1073812162,9.3938e-06,-0.6862386494,-0.2653042821,2025-04 to 2025-10,802
top3_mean_consumption,-11,-0.4183546691,0.1075370358,0.0001001076,-0.6291272592,-0.207582079,2025-04 to 2025-10,802
top3_mean_consumption,-10,-0.3038540258,0.0988814865,0.0021198157,-0.4976617394,-0.1100463123,2025-04 to 2025-10,802
top3_mean_consumption,-9,-0.27453759,0.0938052277,0.0034260464,-0.4583958363,-0.0906793438,2025-04 to 2025-10,802
top3_mean_consumption,-8,-0.3141292139,0.0984494801,0.0014189635,-0.5070901948,-0.121168233,2025-04 to 2025-10,802
top3_mean_consumption,-7,-0.1998674759,0.0923426723,0.0304328368,-0.3808591137,-0.0188758382,2025-04 to 2025-10,802
top3_mean_consumption,-6,-0.1687563881,0.0924305151,0.067885686,-0.3499201978,0.0124074216,2025-04 to 2025-10,802
top3_mean_consumption,-5,-0.0363877759,0.0708579012,0.6075794675,-0.1752692623,0.1024937105,2025-04 to 2025-10,802
top3_mean_consumption,-4,-0.0732593281,0.0683256026,0.283626155,-0.2071775092,0.0606588529,2025-04 to 2025-10,802
top3_mean_consumption,-3,-0.050808831,0.0640563992,0.4276677171,-0.1763593734,0.0747417114,2025-04 to 2025-10,802
top3_mean_consumption,-2,-0.1304794227,0.0577772285,0.023925768,-0.2437227905,-0.0172360549,2025-04 to 2025-10,802
top3_mean_consumption,0,0.5866727455,0.0961190033,1e-09,0.398279499,0.775065992,2025-04 to 2025-10,802
top3_mean_consumption,1,0.4038888132,0.0965810583,2.89129e-05,0.2145899389,0.5931876876,2025-04 to 2025-10,802
top3_mean_consumption,2,0.3866790595,0.0973683453,7.1481e-05,0.1958371026,0.5775210164,2025-04 to 2025-10,802
top3_mean_consumption,3,0.1721410477,0.0987181651,0.0812004884,-0.0213465559,0.3656286513,2025-04 to 2025-10,802
top3_mean_consumption,4,0.2650826427,0.0996702194,0.0078234137,0.0697290128,0.4604362727,2025-04 to 2025-10,802
top3_mean_consumption,-12,-0.5377571805,0.1124452108,1.7322e-06,-0.7581497937,-0.3173645673,Winter Cohorts,894
top3_mean_consumption,-11,-0.493332455,0.112449484,1.14847e-05,-0.7137334436,-0.2729314665,Winter Cohorts,894
top3_mean_consumption,-10,-0.4632808266,0.1113578668,3.17846e-05,-0.6815422455,-0.2450194077,Winter Cohorts,894
top3_mean_consumption,-9,-0.398755854,0.1028617951,0.0001059186,-0.6003649724,-0.1971467357,Winter Cohorts,894
top3_mean_consumption,-8,-0.377861436,0.1002859015,0.0001646648,-0.574421803,-0.181301069,Winter Cohorts,894
top3_mean_consumption,-7,-0.3770342594,0.1000257286,0.0001636583,-0.5730846875,-0.1809838314,Winter Cohorts,894
top3_mean_consumption,-6,-0.2555238681,0.0979520288,0.0090896615,-0.4475098445,-0.0635378917,Winter Cohorts,894
top3_mean_consumption,-5,-0.3042942371,0.0937007017,0.0011641839,-0.4879476124,-0.1206408618,Winter Cohorts,894
top3_mean_consumption,-4,-0.232143901,0.0815266735,0.0044069701,-0.3919361811,-0.0723516209,Winter Cohorts,894
top3_mean_consumption,-3,-0.1328798234,0.0710797769,0.0615607529,-0.2721961861,0.0064365393,Winter Cohorts,894
top3_mean_consumption,-2,-0.1649391623,0.0613337168,0.0071621635,-0.2851532472,-0.0447250774,Winter Cohorts,894
top3_mean_consumption,0,0.408980751,0.0820999221,6.309e-07,0.2480649037,0.5698965983,Winter Cohorts,894
top3_mean_consumption,1,0.4050807624,0.0873144242,3.4953e-06,0.2339444909,0.5762170338,Winter Cohorts,894
top3_mean_consumption,2,0.298183734,0.0925265394,0.0012699588,0.1168317167,0.4795357512,Winter Cohorts,894
top3_mean_consumption,3,0.1702627801,0.1060867761,0.1085072802,-0.0376673012,0.3781928613,Winter Cohorts,894
top3_mean_consumption,4,0.1561496558,0.119133949,0.1899569008,-0.0773528842,0.3896521958,Winter Cohorts,894
