outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper
top3_mean_consumption,-12,-0.4970074127,0.0797599342,5e-10,-0.6533368837,-0.3406779417
top3_mean_consumption,-11,-0.4531213212,0.0777023462,5.5e-09,-0.6054179198,-0.3008247226
top3_mean_consumption,-10,-0.3887321228,0.0776520849,5.555e-07,-0.5409302092,-0.2365340363
top3_mean_consumption,-9,-0.3515008677,0.0702099916,5.545e-07,-0.4891124512,-0.2138892841
top3_mean_consumption,-8,-0.3590540921,0.0709647427,4.201e-07,-0.4981449878,-0.2199631964
top3_mean_consumption,-7,-0.2781164438,0.0692101314,5.85859e-05,-0.4137683013,-0.1424645862
top3_mean_consumption,-6,-0.2195427848,0.0666428639,0.0009866082,-0.350162798,-0.0889227716
top3_mean_consumption,-5,-0.1768067917,0.0631089132,0.005084773,-0.3005002616,-0.0531133219
top3_mean_consumption,-4,-0.16821141,0.0542662078,0.0019368727,-0.2745731773,-0.0618496427
top3_mean_consumption,-3,-0.0922716186,0.0491405302,0.0604209769,-0.1885870578,0.0040438205
top3_mean_consumption,-2,-0.1375582596,0.0409960561,0.0007924965,-0.2179105296,-0.0572059897
top3_mean_consumption,0,0.4842613141,0.0597069975,5.035833186e-16,0.367235599,0.6012870291
top3_mean_consumption,1,0.4129011589,0.0640819203,1e-10,0.2873005951,0.5385017227
top3_mean_consumption,2,0.3469668537,0.0668900663,2.136e-07,0.2158623237,0.4780713836
top3_mean_consumption,3,0.1683192168,0.0737196316,0.0224165505,0.0238287388,0.3128096947
top3_mean_consumption,4,0.2023050237,0.0802768858,0.0117324638,0.0449623276,0.3596477198
