outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper
top3_mean_consumption,-12,-0.3486631827,0.0732724806,1.9509e-06,-0.4922772447,-0.2050491208
top3_mean_consumption,-11,-0.247509431,0.0718466087,0.0005711222,-0.3883287841,-0.106690078
top3_mean_consumption,-10,-0.2251415802,0.07087217,0.0014894685,-0.3640510335,-0.0862321269
top3_mean_consumption,-9,-0.2048007971,0.0704421026,0.0036448939,-0.3428673182,-0.0667342761
top3_mean_consumption,-8,-0.1800088855,0.0687296807,0.0088165939,-0.3147190596,-0.0452987113
top3_mean_consumption,-7,-0.1607533193,0.0666971296,0.0159438448,-0.2914796933,-0.0300269453
top3_mean_consumption,-6,-0.2163359481,0.0633819208,0.0006420192,-0.3405645128,-0.0921073834
top3_mean_consumption,-5,-0.2112777338,0.0600474988,0.0004339772,-0.3289708314,-0.0935846361
top3_mean_consumption,-4,-0.2078703249,0.05785874,0.0003272426,-0.3212734552,-0.0944671945
top3_mean_consumption,-3,-0.1950568498,0.052918795,0.0002278373,-0.2987776879,-0.0913360116
top3_mean_consumption,-2,-0.1350569697,0.0413365136,0.0010859546,-0.2160765364,-0.054037403
top3_mean_consumption,0,0.3919511779,0.0510358631,0.0,0.2919208862,0.4919814695
top3_mean_consumption,1,0.3646276866,0.0577422047,3e-10,0.2514529653,0.4778024079
top3_mean_consumption,2,0.315863121,0.0627920395,4.897e-07,0.1927907235,0.4389355185
top3_mean_consumption,3,0.3435781119,0.0692304709,6.948e-07,0.2078863889,0.4792698348
top3_mean_consumption,4,0.3838255455,0.0746297299,2.703e-07,0.237551275,0.530099816
top3_mean_consumption,5,0.3573155883,0.0741073709,1.4242e-06,0.2120651414,0.5025660351
top3_mean_consumption,6,0.3086517809,0.0737650572,2.86103e-05,0.1640722689,0.453231293
top3_mean_consumption,7,0.2755637364,0.0756518082,0.0002699749,0.1272861924,0.4238412804
top3_mean_consumption,8,0.1970010001,0.0764621711,0.0099820493,0.0471351447,0.3468668555
top3_mean_consumption,9,0.1375584498,0.0811751929,0.0901537406,-0.0215449283,0.2966618279
top3_mean_consumption,10,0.0867644191,0.0849713253,0.3072059543,-0.0797793784,0.2533082166
top3_mean_consumption,11,0.1216882813,0.1014197385,0.2301983364,-0.0770944061,0.3204709687
