cohort,ATT,SE,t_stat,p_value,CI_low,CI_high,n_periods
2025-03,-0.8615181292,0.0486688812,-17.7016218021,0.0,-0.9569091364,-0.766127122,5
2025-04,-0.6761326326,0.031312537,-21.5930325891,0.0,-0.7375052051,-0.61476006,4
2025-05,-0.980048211,0.0591857565,-16.5588524716,0.0,-1.0960522938,-0.8640441282,4
2025-06,-0.7821555944,0.076829332,-10.1804294489,0.0,-0.9327410852,-0.6315701036,4
2025-07,-0.7188133337,0.0767440032,-9.366377879,0.0,-0.86923158,-0.5683950875,4
2025-08,-0.8429307061,0.0972354217,-8.6689674528,0.0,-1.0335121327,-0.6523492795,4
2025-09,-0.8478864265,0.0604763148,-14.0201404413,0.0,-0.9664200035,-0.7293528496,4
2025-10,-0.5890569236,0.0606235252,-9.7166392324,0.0,-0.7078790331,-0.4702348142,4
2025-11,-0.7143301791,0.0415910528,-17.175092483,0.0,-0.7958486427,-0.6328117155,4
2025-12,-0.4102094609,0.0591278025,-6.9376747247,0.0,-0.5260999538,-0.294318968,3
