cohort,event_time,effect,se,t_stat,p_value,n_treated,n_control,ci_low,ci_high
2025-03,-26,-0.0425335907,0.1029946938,-0.4129687572,0.6796295042,620,3020,-0.244399481,0.1593322997
2025-03,-25,0.1050742234,0.1063048291,0.9884238031,0.3229451348,620,3023,-0.1032794129,0.3134278598
2025-03,-24,0.1052957895,0.1122004727,0.938461193,0.3480074511,617,3001,-0.1146130961,0.3252046751
2025-03,-16,0.0601234006,0.1135670016,0.5294090689,0.5965217084,624,3030,-0.1624638324,0.2827106336
2025-03,-15,0.1474753286,0.1162082674,1.2690605572,0.2044194665,624,3030,-0.0802886902,0.3752393473
2025-03,-14,0.0607026683,0.1242169287,0.4886827336,0.6250663298,624,3030,-0.1827580383,0.3041633749
2025-03,-13,0.0469044346,0.1100181732,0.4263335156,0.6698648392,624,3030,-0.1687272226,0.2625360918
2025-03,-12,0.0286510651,0.1048553143,0.2732438057,0.7846658086,624,3031,-0.1768615745,0.2341637048
2025-03,-4,-0.0066269146,0.1131139606,-0.0585861781,0.95328172,625,3053,-0.2283262036,0.2150723743
2025-03,-3,-0.0055508028,0.1107948863,-0.0500998102,0.960042851,625,3070,-0.2227047897,0.2116031841
2025-03,-2,0.0214454304,0.1135771855,0.1888181179,0.8502353713,625,3125,-0.2011617626,0.2440526234
2025-03,-1,-0.0324037197,0.1104264891,-0.2934415461,0.7691846732,625,3125,-0.2488356612,0.1840282219
2025-03,0,-0.678523416,0.0965001315,-7.0313211523,0.0,625,3125,-0.8676601983,-0.4893866337
2025-03,8,-0.8871048939,0.1038444714,-8.5426299735,0.0,625,3124,-1.0906363178,-0.68357347
2025-03,9,-0.8681060197,0.1023901383,-8.4784143646,0.0,625,3124,-1.0687870033,-0.6674250362
2025-03,10,-0.9068058477,0.1170912087,-7.7444400663,0.0,625,3124,-1.1363003996,-0.6773112958
2025-03,11,-0.9670504687,0.1130472292,-8.5543933758,0.0,625,3124,-1.1886189665,-0.7454819709
2025-04,-27,0.0312295212,0.1410581353,0.2213946836,0.8247851316,333,1638,-0.2452393436,0.3076983861
2025-04,-26,-0.0127066922,0.1397595301,-0.0909182522,0.9275575471,333,1638,-0.2866303378,0.2612169533
2025-04,-25,-0.0242049609,0.147922344,-0.1636328917,0.8700201498,331,1621,-0.3141274276,0.2657175058
2025-04,-17,0.0081546109,0.1550190311,0.052603934,0.9580474825,334,1643,-0.295677107,0.3119863287
2025-04,-16,0.0246262384,0.159328779,0.1545623997,0.8771663144,334,1645,-0.2876524301,0.3369049069
2025-04,-15,-0.0049389682,0.1725739871,-0.0286194243,0.9771681201,334,1645,-0.3431777675,0.3332998312
2025-04,-14,0.0596086611,0.1528440066,0.3899967193,0.6965389729,334,1648,-0.2399600871,0.3591774093
2025-04,-13,-0.0308145866,0.1345166926,-0.2290763027,0.8188096114,334,1648,-0.2944624594,0.2328332862
2025-04,-5,0.0157780998,0.1504470649,0.1048747598,0.9164751873,334,1648,-0.279092729,0.3106489286
2025-04,-4,0.0244779401,0.1521084965,0.1609242129,0.8721530917,334,1649,-0.2736492347,0.3226051149
2025-04,-3,0.0247713019,0.1528347313,0.1620790097,0.8712436354,334,1661,-0.274779267,0.3243218708
2025-04,-2,-0.050006585,0.1493045785,-0.3349300172,0.7376778781,334,1670,-0.3426381815,0.2426250115
2025-04,-1,-0.0030138991,0.1317984953,-0.0228674771,0.9817559831,334,1668,-0.2613342031,0.255306405
2025-04,7,-0.690513262,0.1404892619,-4.9150607858,8.875e-07,334,1667,-0.9658671556,-0.4151593685
2025-04,8,-0.5873050278,0.1433814895,-4.0961007592,4.20167e-05,334,1666,-0.8683275832,-0.3062824724
2025-04,9,-0.6921738426,0.1627886984,-4.2519772516,2.11891e-05,334,1666,-1.0112338286,-0.3731138566
2025-04,10,-0.7345383978,0.1603624831,-4.5804878013,4.6389e-06,334,1666,-1.0488430892,-0.4202337064
2025-05,-28,0.0169964205,0.2086110411,0.0814742137,0.9350648312,140,679,-0.3918737068,0.4258665479
2025-05,-27,0.0895663851,0.2159734026,0.414710256,0.6783540235,140,680,-0.3337337057,0.5128664758
2025-05,-26,0.0848759693,0.218382146,0.3886580057,0.6975291512,139,681,-0.3431451717,0.5128971103
2025-05,-18,0.0006764332,0.2447364904,0.0027639246,0.99779471,140,685,-0.4789982737,0.4803511401
2025-05,-17,0.0033412323,0.2386120145,0.0140027833,0.9888277605,140,685,-0.4643297224,0.471012187
2025-05,-16,-0.1923540456,0.265396864,-0.7247788941,0.4685876858,140,685,-0.7125223406,0.3278142494
2025-05,-15,-0.030453716,0.2267699167,-0.1342934565,0.8931705273,140,685,-0.4749145855,0.4140071536
2025-05,-14,-0.1148879521,0.2200516652,-0.5220953545,0.6016039408,140,685,-0.5461812906,0.3164053863
2025-05,-6,0.0154382009,0.2578173,0.0598803916,0.9522508971,140,686,-0.4898744217,0.5207508235
2025-05,-5,0.002709194,0.2133128157,0.0127005685,0.9898666849,140,686,-0.4153762422,0.4207946302
2025-05,-4,0.0684410053,0.2361111798,0.2898677027,0.7719174508,140,692,-0.3943284035,0.5312104141
2025-05,-3,-0.0233704657,0.2474517271,-0.0944445447,0.9247560323,140,700,-0.5083669388,0.4616260074
2025-05,-2,0.0302158829,0.22251675,0.1357914982,0.8919861123,140,697,-0.4059089332,0.4663406989
2025-05,6,-0.8954024589,0.2050053664,-4.3677025363,1.2556e-05,140,698,-1.2972055937,-0.4935993241
2025-05,7,-0.8647738086,0.1973451855,-4.3820365141,1.17575e-05,140,697,-1.2515632646,-0.4779843526
2025-05,8,-1.0517388698,0.2411191137,-4.361905838,1.28934e-05,140,697,-1.5243236487,-0.5791540909
2025-05,9,-1.1082777067,0.2305269722,-4.8075836684,1.5277e-06,140,697,-1.5601022697,-0.6564531437
2025-06,-29,-0.0230695152,0.2558499559,-0.0901681423,0.9281535999,125,619,-0.5245262143,0.4783871838
2025-06,-28,-0.1229299775,0.2510403356,-0.4896821749,0.6243588173,125,619,-0.6149599939,0.3691000389
2025-06,-27,-0.0420313702,0.2596035551,-0.1619059883,0.8713798871,125,613,-0.5508449884,0.4667822481
2025-06,-19,0.1488292168,0.3109679553,0.4785998503,0.6322233249,125,622,-0.4606567758,0.7583152095
2025-06,-18,0.3200316333,0.3066491343,1.0436410788,0.2966514798,125,622,-0.2809896258,0.9210528924
2025-06,-17,0.1456967543,0.3367141352,0.4327016276,0.6652315473,125,623,-0.5142508238,0.8056443324
2025-06,-16,0.2394523398,0.2956514428,0.8099143288,0.4179894159,125,623,-0.34001384,0.8189185196
