new_event_time,effect,se,p_value,ci_low,ci_high,n_control,n_treated,cohort_group
-12,-0.0425335907,0.1029946938,0.6796295042,-0.2444031904,0.1593360091,3020,620,2025-03
-11,0.1050742234,0.1063048291,0.3229451348,-0.1032832415,0.3134316884,3023,620,2025-03
-10,0.1052957895,0.1122004727,0.3480074511,-0.1146171371,0.3252087161,3001,617,2025-03
-9,0.0601234006,0.1135670016,0.5965217084,-0.1624679226,0.2827147237,3030,624,2025-03
-8,0.1474753286,0.1162082674,0.2044194665,-0.0802928755,0.3752435326,3030,624,2025-03
-7,0.0607026683,0.1242169287,0.6250663298,-0.182762512,0.3041678486,3030,624,2025-03
-6,0.0469044346,0.1100181732,0.6698648392,-0.168731185,0.2625400541,3030,624,2025-03
-5,0.0286510651,0.1048553143,0.7846658086,-0.1768653509,0.2341674812,3031,624,2025-03
-4,-0.0066269146,0.1131139606,0.95328172,-0.2283302775,0.2150764482,3053,625,2025-03
-3,-0.0055508028,0.1107948863,0.960042851,-0.22270878,0.2116071745,3070,625,2025-03
-2,0.0214454304,0.1135771855,0.8502353713,-0.2011658532,0.244056714,3125,625,2025-03
-1,-0.0324037197,0.1104264891,0.7691846732,-0.2488396383,0.1840321989,3125,625,2025-03
0,-0.678523416,0.0965001315,0.0,-0.8676636738,-0.4893831582,3125,625,2025-03
1,-0.8871048939,0.1038444714,0.0,-1.0906400578,-0.68356973,3124,625,2025-03
2,-0.8681060197,0.1023901383,0.0,-1.0687906909,-0.6674213486,3124,625,2025-03
3,-0.9068058477,0.1170912087,0.0,-1.1363046167,-0.6773070788,3124,625,2025-03
4,-0.9670504687,0.1130472292,0.0,-1.188623038,-0.7454778995,3124,625,2025-03
-13,0.0582823869,0.0940890318,0.5356273975,-0.1261321155,0.2426968893,3933,801,2025-04 to 2025-10
-12,0.0337639527,0.0925686237,0.7153016835,-0.1476705499,0.2151984552,3936,801,2025-04 to 2025-10
-11,0.0707274296,0.0982435772,0.4715747953,-0.1218299817,0.263284841,3908,797,2025-04 to 2025-10
-10,0.088550022,0.1079125004,0.4118898606,-0.1229584787,0.3000585227,3950,802,2025-04 to 2025-10
-9,0.1546516065,0.1068255934,0.1477004594,-0.0547265566,0.3640297696,3953,802,2025-04 to 2025-10
-8,0.0250627092,0.1168310512,0.8301408243,-0.2039261512,0.2540515695,3954,802,2025-04 to 2025-10
