cohort,outcome,coef,std_error,p_value,ci_lower,ci_upper,n_treated,n_periods,n_obs,n_entities
2025-03,top3_mean_consumption,-0.9117019984,0.0632920794,4.835691343e-47,-1.0357544741,-0.7876495227,625,5,60007,3549
2025-04,top3_mean_consumption,-0.6676597189,0.0836343509,0.0,-0.8315830467,-0.5037363911,334,4,33157,1960
2025-05,top3_mean_consumption,-0.9542200224,0.1459045278,1e-10,-1.240192897,-0.6682471479,140,4,13879,824
2025-06,top3_mean_consumption,-0.8489475996,0.1527227288,2.72e-08,-1.148284148,-0.5496110511,125,4,12641,746
2025-07,top3_mean_consumption,-0.9847428934,0.2325325494,2.28694e-05,-1.4405066903,-0.5289790965,64,4,6388,379
2025-08,top3_mean_consumption,-0.9725040881,0.2725238111,0.0003590164,-1.5066507577,-0.4383574184,40,4,4042,240
2025-09,top3_mean_consumption,-0.9790741441,0.2725944647,0.0003285436,-1.513359295,-0.4447889933,49,4,4890,289
2025-10,top3_mean_consumption,-0.6785014908,0.2417304698,0.0050028325,-1.1522932117,-0.2047097699,50,4,5050,300
2025-11,top3_mean_consumption,-0.8948175316,0.1596505634,2.08e-08,-1.207732636,-0.5819024273,148,4,14774,878
2025-12,top3_mean_consumption,-0.6284023712,0.182447039,0.0005725396,-0.9859985676,-0.2708061748,121,3,11945,710
