outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,-12,0.0033238564,0.0944730167,0.9719337147,-0.1818432563,0.1884909691,2025-03,625
top3_mean_consumption,-11,0.1480734868,0.096250215,0.1239453685,-0.0405769345,0.3367239082,2025-03,625
top3_mean_consumption,-10,0.1465328293,0.0955275148,0.1250460801,-0.0407010997,0.3337667582,2025-03,625
top3_mean_consumption,-9,0.1041603197,0.0916395309,0.2556926295,-0.0754531608,0.2837738002,2025-03,625
top3_mean_consumption,-8,0.1915122477,0.0883800769,0.030241221,0.0182872969,0.3647371985,2025-03,625
top3_mean_consumption,-7,0.1047395874,0.0891559124,0.2400782343,-0.0700060009,0.2794851758,2025-03,625
top3_mean_consumption,-6,0.0909413537,0.087290822,0.2974949831,-0.0801486575,0.2620313649,2025-03,625
top3_mean_consumption,-5,0.0726879843,0.082957635,0.380918011,-0.0899089803,0.2352849488,2025-03,625
top3_mean_consumption,-4,0.0359116189,0.0735479195,0.6253549854,-0.1082423034,0.1800655412,2025-03,625
top3_mean_consumption,-3,0.0441973251,0.0760105905,0.5609286334,-0.1047834324,0.1931780826,2025-03,625
top3_mean_consumption,-2,0.0538491501,0.0740261291,0.4669599103,-0.091242063,0.1989403631,2025-03,625
top3_mean_consumption,0,-0.6461196963,0.0734492747,1.407538134e-18,-0.7900802747,-0.502159118,2025-03,625
top3_mean_consumption,1,-0.8548045309,0.0889359614,7.152672182e-22,-1.0291190152,-0.6804900466,2025-03,625
top3_mean_consumption,2,-0.8358056567,0.0904794646,2.5228181e-20,-1.0131454073,-0.6584659062,2025-03,625
top3_mean_consumption,3,-0.8745054847,0.0921551078,2.321549932e-21,-1.0551294959,-0.6938814735,2025-03,625
top3_mean_consumption,4,-0.9347501057,0.0902299586,3.783739425e-25,-1.1116008246,-0.7578993868,2025-03,625
top3_mean_consumption,-12,-0.0258173339,0.1114449014,0.8168020455,-0.2442493407,0.1926146728,2025-04,334
top3_mean_consumption,-11,-0.0298247865,0.1174507949,0.7995463085,-0.2600283445,0.2003787716,2025-04,334
top3_mean_consumption,-10,-0.0071861303,0.1164573524,0.9507968734,-0.235442541,0.2210702803,2025-04,334
top3_mean_consumption,-9,0.0116561415,0.1125108225,0.9174866444,-0.2088650707,0.2321773537,2025-04,334
top3_mean_consumption,-8,-0.017909065,0.1185572361,0.8799296568,-0.2502812478,0.2144631177,2025-04,334
top3_mean_consumption,-7,0.0467721507,0.1060190382,0.6590917622,-0.1610251641,0.2545694656,2025-04,334
top3_mean_consumption,-6,-0.0415708842,0.1045178833,0.6908222626,-0.2464259354,0.1632841669,2025-04,334
top3_mean_consumption,-5,0.0050218021,0.1002263683,0.9600390337,-0.1914218797,0.2014654839,2025-04,334
top3_mean_consumption,-4,0.012072339,0.0968887465,0.9008402184,-0.1778296042,0.2019742823,2025-04,334
top3_mean_consumption,-3,0.0103692453,0.0878900448,0.9060837052,-0.1618952425,0.182633733,2025-04,334
top3_mean_consumption,-2,-0.0482972384,0.0882445862,0.5841650434,-0.2212566274,0.1246621505,2025-04,334
top3_mean_consumption,1,-0.6880634717,0.1044445331,0.0,-0.8927747566,-0.4833521869,2025-04,334
