outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort_group,n_treated
top3_mean_consumption,-12,0.0228247887,0.0821761263,0.7812008229,-0.1382404189,0.1838899962,2025-04 to 2025-10,802
top3_mean_consumption,-11,0.0667371878,0.0821851468,0.4167717432,-0.0943456999,0.2278200755,2025-04 to 2025-10,802
top3_mean_consumption,-10,0.0782186004,0.0851083424,0.3580707823,-0.0885937507,0.2450309515,2025-04 to 2025-10,802
top3_mean_consumption,-9,0.1458856792,0.0811734055,0.0723022427,-0.0132141957,0.304985554,2025-04 to 2025-10,802
top3_mean_consumption,-8,0.0161632331,0.0872085862,0.8529624221,-0.1547655958,0.187092062,2025-04 to 2025-10,802
top3_mean_consumption,-7,0.1428966941,0.0795784837,0.0725470191,-0.0130771339,0.2988705221,2025-04 to 2025-10,802
top3_mean_consumption,-6,0.0999121065,0.076488056,0.1914694059,-0.0500044831,0.2498286962,2025-04 to 2025-10,802
top3_mean_consumption,-5,0.0117219648,0.0691148069,0.8653236579,-0.1237430568,0.1471869864,2025-04 to 2025-10,802
top3_mean_consumption,-4,-0.0011954615,0.0646333231,0.9852431241,-0.1278767748,0.1254858518,2025-04 to 2025-10,802
top3_mean_consumption,-3,0.0079289755,0.0623015918,0.8987285853,-0.1141821445,0.1300400954,2025-04 to 2025-10,802
top3_mean_consumption,-2,-0.0289758924,0.0626750239,0.6438521414,-0.1518189392,0.0938671544,2025-04 to 2025-10,802
top3_mean_consumption,1,-0.7381851198,0.0778829256,2.588606813e-21,-0.8908356539,-0.5855345857,2025-04 to 2025-10,802
top3_mean_consumption,2,-0.6892255625,0.0790404002,2.784110017e-18,-0.8441447469,-0.534306378,2025-04 to 2025-10,802
top3_mean_consumption,3,-0.7524665843,0.0840283407,3.399998193e-19,-0.917162132,-0.5877710366,2025-04 to 2025-10,802
top3_mean_consumption,4,-0.8578686192,0.0850025334,5.977032239e-24,-1.0244735847,-0.6912636537,2025-04 to 2025-10,802
top3_mean_consumption,-12,0.0341034151,0.0848014323,0.6875691324,-0.1321073922,0.2003142224,Winter Cohorts,894
top3_mean_consumption,-11,0.0999895233,0.0871660891,0.2513341192,-0.0708560114,0.270835058,Winter Cohorts,894
top3_mean_consumption,-10,0.2426175306,0.0884123016,0.0060665901,0.0693294194,0.4159056418,Winter Cohorts,894
top3_mean_consumption,-9,0.1744149717,0.083688266,0.0371507934,0.0103859703,0.3384439732,Winter Cohorts,894
top3_mean_consumption,-8,0.2264349734,0.0809753297,0.0051684166,0.0677233273,0.3851466196,Winter Cohorts,894
top3_mean_consumption,-7,0.1715425054,0.0837790672,0.0406033212,0.0073355336,0.3357494771,Winter Cohorts,894
top3_mean_consumption,-6,0.1665890689,0.0799228702,0.0371262562,0.0099402433,0.3232378945,Winter Cohorts,894
top3_mean_consumption,-5,0.0994943198,0.0731287126,0.1736600501,-0.0438379569,0.2428265965,Winter Cohorts,894
top3_mean_consumption,-4,-0.0006585383,0.0695138447,0.9924413668,-0.1369056739,0.1355885973,Winter Cohorts,894
top3_mean_consumption,-3,0.0049716843,0.0659125892,0.9398738253,-0.1242169906,0.1341603592,Winter Cohorts,894
top3_mean_consumption,-2,0.0028954212,0.0644521392,0.9641682172,-0.1234307717,0.1292216141,Winter Cohorts,894
top3_mean_consumption,0,-0.6515868296,0.0632151999,6.521588768e-25,-0.7754886213,-0.5276850379,Winter Cohorts,894
top3_mean_consumption,1,-0.7165037968,0.0726885315,6.381778286e-23,-0.8589733186,-0.574034275,Winter Cohorts,894
top3_mean_consumption,2,-0.764581568,0.0747245698,1.425491911e-24,-0.9110417248,-0.6181214112,Winter Cohorts,894
top3_mean_consumption,3,-0.8502162131,0.0885850677,8.171858354e-22,-1.0238429458,-0.6765894804,Winter Cohorts,894
top3_mean_consumption,4,-0.9729371232,0.0989126199,7.852349253e-23,-1.1668058582,-0.7790683882,Winter Cohorts,894
