outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper
top3_mean_consumption,-12,0.0424531394,0.0601078946,0.4800126252,-0.0753583339,0.1602646128
top3_mean_consumption,-11,0.0721423728,0.0596748914,0.2266922744,-0.0448204144,0.18910516
top3_mean_consumption,-10,0.1549844045,0.0627055343,0.013450149,0.0320815573,0.2778872517
top3_mean_consumption,-9,0.1366172593,0.0582690167,0.019047745,0.0224099866,0.2508245321
top3_mean_consumption,-8,0.1118015479,0.0588087155,0.0572882502,-0.0034635345,0.2270666304
top3_mean_consumption,-7,0.1612171722,0.0572953791,0.0048961182,0.0489182291,0.2735161152
top3_mean_consumption,-6,0.1216783161,0.0547577511,0.0262751696,0.0143531239,0.2290035083
top3_mean_consumption,-5,0.0664917594,0.0515799526,0.197363037,-0.0346049477,0.1675884665
top3_mean_consumption,-4,-0.0026331847,0.0466440134,0.9549811034,-0.0940554509,0.0887890815
top3_mean_consumption,-3,-0.0052347774,0.0463612512,0.9100997098,-0.0961028298,0.0856332749
top3_mean_consumption,-2,-0.0114032534,0.0434032702,0.7927602507,-0.0964736629,0.0736671561
top3_mean_consumption,0,-0.6909982545,0.0566835378,3.494543222e-34,-0.8020979886,-0.5798985204
top3_mean_consumption,1,-0.7235083503,0.052667594,6.073228676e-43,-0.8267368345,-0.6202798662
top3_mean_consumption,2,-0.7265877242,0.0542211875,6.010642688e-41,-0.8328612516,-0.6203141968
top3_mean_consumption,3,-0.8091870192,0.0619551528,5.510828727e-39,-0.9306191187,-0.6877549197
top3_mean_consumption,4,-0.9138754922,0.066911527,1.809633105e-42,-1.045022085,-0.7827288994
