outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper
top3_mean_consumption,-12,0.1257349097,0.0720135387,0.0808127107,-0.0154116262,0.2668814456
top3_mean_consumption,-11,0.0479356976,0.1066379681,0.653057949,-0.16107472,0.2569461151
top3_mean_consumption,-10,0.1066443347,0.0984776079,0.2788395906,-0.0863717769,0.2996604462
top3_mean_consumption,-9,0.0132528325,0.0956052649,0.8897501842,-0.1741334866,0.2006391517
top3_mean_consumption,-8,0.1070021986,0.097120204,0.2705703111,-0.0833534012,0.2973577985
top3_mean_consumption,-7,0.1149373616,0.0934246601,0.2185967961,-0.0681749723,0.2980496954
top3_mean_consumption,-6,0.1317425764,0.0862616524,0.1267003908,-0.0373302622,0.300815415
top3_mean_consumption,-5,0.0059405946,0.0677950918,0.9301741488,-0.1269377853,0.1388189746
top3_mean_consumption,-4,0.0758325473,0.0537296227,0.1581346128,-0.0294775131,0.1811426077
top3_mean_consumption,-3,0.0671361044,0.0539880607,0.2136703338,-0.0386804947,0.1729527034
top3_mean_consumption,-2,0.0423419911,0.0521801301,0.4171026253,-0.0599310639,0.1446150461
top3_mean_consumption,0,-0.6344332058,0.0578041377,5.009042621e-28,-0.7477293157,-0.5211370958
top3_mean_consumption,1,-0.4885722856,0.0953595584,3e-07,-0.6754770201,-0.301667551
top3_mean_consumption,2,-0.5293981741,0.0939443214,1.75e-08,-0.713529044,-0.3452673042
top3_mean_consumption,3,-0.5041328378,0.1101680985,4.7388e-06,-0.7200623108,-0.2882033647
top3_mean_consumption,4,-0.5849168556,0.1108873708,1.328e-07,-0.8022561024,-0.3675776088
top3_mean_consumption,5,-0.7391250681,0.1022006045,0.0,-0.939438253,-0.5388118833
top3_mean_consumption,6,-0.6806910613,0.0865081674,0.0,-0.8502470694,-0.5111350531
top3_mean_consumption,7,-0.7192716347,0.0700737078,1.018462772e-24,-0.8566161019,-0.5819271675
top3_mean_consumption,8,-0.7653979438,0.0618543827,3.605085793e-35,-0.886632534,-0.6441633536
top3_mean_consumption,9,-0.8306214916,0.0649557961,1.925980183e-37,-0.957934852,-0.7033081312
top3_mean_consumption,10,-0.7855359678,0.0706131733,9.53431233e-29,-0.9239377875,-0.6471341482
top3_mean_consumption,11,-0.8691976756,0.0805364989,3.731099891e-27,-1.0270492133,-0.7113461378
