cohort,outcome,coef,std_error,p_value,ci_lower,ci_upper,n_treated,n_periods,n_obs,n_entities
2025-03,top3_mean_consumption,0.7458943742,0.0926624798,8.307622255e-16,0.5642759138,0.9275128347,625,5,60008,3549
2025-04,top3_mean_consumption,0.5173825334,0.1217344858,2.13685e-05,0.2787829413,0.7559821255,334,5,35115,1960
2025-05,top3_mean_consumption,0.626436119,0.2082345086,0.0026269603,0.2182964821,1.0345757558,140,5,14700,824
2025-06,top3_mean_consumption,0.4121964469,0.2183294434,0.0590318181,-0.0157292621,0.8401221559,125,5,13387,746
2025-07,top3_mean_consumption,0.824402731,0.3362309764,0.0142106496,0.1653900173,1.4834154447,64,5,6766,379
2025-08,top3_mean_consumption,1.2779613957,0.350101395,0.0002619742,0.5917626615,1.96416013,40,5,4281,240
2025-09,top3_mean_consumption,0.6854907548,0.3776180974,0.0694775658,-0.0546407162,1.4256222258,49,5,5179,289
2025-10,top3_mean_consumption,1.3838585746,0.42235332,0.0010508652,0.5560460674,2.2116710819,50,5,5349,300
2025-11,top3_mean_consumption,0.4250015595,0.237936907,0.0740677952,-0.0413547781,0.8913578972,148,4,14774,878
2025-12,top3_mean_consumption,0.6642801613,0.2351366648,0.0047268642,0.2034122983,1.1251480244,121,3,11945,710
