cohort,outcome,coef,std_error,p_value,ci_lower,ci_upper,n_treated,n_periods,n_obs,n_entities
2025-03,top3_mean_consumption,0.7844264502,0.0919634189,1.466439523e-17,0.6041781491,0.9646747514,625,12,134082,3549
2025-04,top3_mean_consumption,0.5631330972,0.120936894,3.2175e-06,0.3260967849,0.8001694095,334,11,74080,1960
2025-05,top3_mean_consumption,0.6895727733,0.2157355179,0.0013916352,0.2667311583,1.1124143883,140,10,31022,824
2025-06,top3_mean_consumption,0.3865089953,0.2118302536,0.0680589079,-0.0286783018,0.8016962923,125,9,28239,746
2025-07,top3_mean_consumption,0.777703216,0.3291415259,0.0181363221,0.1325858253,1.4228206067,64,8,14275,379
2025-08,top3_mean_consumption,1.4240127842,0.3328119913,1.87962e-05,0.7717012814,2.0763242871,40,7,9024,240
2025-09,top3_mean_consumption,0.7053767244,0.3657160174,0.0537612415,-0.0114266696,1.4221801185,49,6,10931,289
2025-10,top3_mean_consumption,1.2822603295,0.4205228202,0.0022944777,0.4580356019,2.1064850571,50,5,11282,300
2025-11,top3_mean_consumption,0.3324595979,0.2237271942,0.1372779537,-0.1060457027,0.7709648985,148,4,33004,878
2025-12,top3_mean_consumption,0.813170531,0.2353251739,0.0005492352,0.3519331901,1.2744078719,121,3,26706,710
