outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,-12,-0.6401782864,0.1299415836,8.365e-07,-0.8948637902,-0.3854927825,2025-03,625
top3_mean_consumption,-11,-0.5103516009,0.1305918739,9.30676e-05,-0.7663116737,-0.2543915281,2025-03,625
top3_mean_consumption,-10,-0.5207962192,0.1295696358,5.83388e-05,-0.7747527053,-0.266839733,2025-03,625
top3_mean_consumption,-9,-0.4111820821,0.1154536751,0.0003688173,-0.6374712852,-0.1848928789,2025-03,625
top3_mean_consumption,-8,-0.5093912449,0.1145295871,8.6802e-06,-0.7338692357,-0.2849132542,2025-03,625
top3_mean_consumption,-7,-0.381427612,0.1157320967,0.0009814859,-0.6082625217,-0.1545927024,2025-03,625
top3_mean_consumption,-6,-0.3627093982,0.1108398854,0.0010664894,-0.5799555735,-0.1454632228,2025-03,625
top3_mean_consumption,-5,-0.3642734224,0.107358859,0.0006912032,-0.574696786,-0.1538500588,2025-03,625
top3_mean_consumption,-4,-0.0581750869,0.082614704,0.4813247195,-0.2200999069,0.103749733,2025-03,625
top3_mean_consumption,-3,0.0129474977,0.0732644554,0.8597261529,-0.130650835,0.1565458303,2025-03,625
top3_mean_consumption,-2,-0.0604643389,0.0580329703,0.2974597451,-0.1742089607,0.0532802829,2025-03,625
top3_mean_consumption,0,0.6482450045,0.0901557479,0.0,0.4715397387,0.8249502703,2025-03,625
top3_mean_consumption,1,0.6122364127,0.1032156003,3e-09,0.4099338361,0.8145389893,2025-03,625
top3_mean_consumption,2,0.4795319356,0.1035923315,3.6738e-06,0.2764909658,0.6825729054,2025-03,625
top3_mean_consumption,3,0.1457602795,0.1008513492,0.1483741264,-0.0519083649,0.3434289238,2025-03,625
top3_mean_consumption,4,0.2717250749,0.103669384,0.0087653362,0.0685330824,0.4749170675,2025-03,625
top3_mean_consumption,-12,-0.5736149588,0.1530606043,0.0001785112,-0.8736137434,-0.2736161743,2025-04,334
top3_mean_consumption,-11,-0.5427368822,0.1574083459,0.0005648483,-0.8512572402,-0.2342165243,2025-04,334
top3_mean_consumption,-10,-0.3528597811,0.1440939504,0.0143326066,-0.635283924,-0.0704356383,2025-04,334
top3_mean_consumption,-9,-0.3917300931,0.1326937436,0.0031558301,-0.6518098307,-0.1316503556,2025-04,334
top3_mean_consumption,-8,-0.3143125555,0.139785347,0.0245419545,-0.5882918356,-0.0403332754,2025-04,334
top3_mean_consumption,-7,-0.2901689127,0.1324761673,0.0284990056,-0.5498222005,-0.0305156248,2025-04,334
top3_mean_consumption,-6,-0.2846736701,0.1302393027,0.0288321503,-0.5399427033,-0.0294046368,2025-04,334
top3_mean_consumption,-5,0.0271650628,0.1045349763,0.7949673111,-0.1777234907,0.2320536163,2025-04,334
top3_mean_consumption,-4,-0.1050770295,0.1060325793,0.3216913674,-0.3129008849,0.102746826,2025-04,334
top3_mean_consumption,-3,-0.0074666187,0.1003996722,0.9407168108,-0.2042499762,0.1893167388,2025-04,334
top3_mean_consumption,-2,-0.1303501916,0.0843731395,0.1223643511,-0.295721545,0.0350211619,2025-04,334
top3_mean_consumption,0,0.3352922722,0.106455152,0.0016348823,0.1266401742,0.5439443701,2025-04,334
top3_mean_consumption,1,0.3716970777,0.1337670634,0.0054578739,0.1095136334,0.633880522,2025-04,334
top3_mean_consumption,2,0.2744125093,0.1328736521,0.0389027687,0.0139801511,0.5348448675,2025-04,334
top3_mean_consumption,3,0.0411681839,0.1292324628,0.7500608321,-0.2121274433,0.2944638111,2025-04,334
top3_mean_consumption,4,0.2401399799,0.1324047274,0.0697268035,-0.0193732857,0.4996532456,2025-04,334
top3_mean_consumption,-12,-0.3893185472,0.2727688565,0.1534981323,-0.9239455059,0.1453084116,2025-05,140
top3_mean_consumption,-11,-0.4135209917,0.2721222644,0.1286078425,-0.9468806299,0.1198386465,2025-05,140
top3_mean_consumption,-10,-0.4873919445,0.2452979493,0.0469292102,-0.968175925,-0.0066079639,2025-05,140
top3_mean_consumption,-9,-0.529886663,0.2522051381,0.0356396896,-1.0242087337,-0.0355645923,2025-05,140
top3_mean_consumption,-8,-0.6157261221,0.2580486376,0.0170287898,-1.1215014518,-0.1099507925,2025-05,140
