outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort_group,n_treated
top3_mean_consumption,-12,-0.5475447394,0.1076509074,3.651e-07,-0.7585405178,-0.336548961,2025-04 to 2025-10,802
top3_mean_consumption,-11,-0.4651888105,0.1083424641,1.75729e-05,-0.6775400402,-0.2528375808,2025-04 to 2025-10,802
top3_mean_consumption,-10,-0.3657702705,0.099717305,0.0002443862,-0.5612161883,-0.1703243526,2025-04 to 2025-10,802
top3_mean_consumption,-9,-0.3565129917,0.0946822992,0.0001663089,-0.5420902981,-0.1709356854,2025-04 to 2025-10,802
top3_mean_consumption,-8,-0.3234773601,0.1002563992,0.0012531385,-0.5199799025,-0.1269748176,2025-04 to 2025-10,802
top3_mean_consumption,-7,-0.2396833646,0.0955045412,0.0120849469,-0.4268722652,-0.0524944639,2025-04 to 2025-10,802
top3_mean_consumption,-6,-0.240725131,0.094077424,0.0105034733,-0.4251168821,-0.05633338,2025-04 to 2025-10,802
top3_mean_consumption,-5,-0.0155864491,0.0718495591,0.82826155,-0.1564115848,0.1252386867,2025-04 to 2025-10,802
top3_mean_consumption,-4,-0.0815952507,0.0700733916,0.2442515799,-0.2189390982,0.0557485968,2025-04 to 2025-10,802
top3_mean_consumption,-3,-0.0678592766,0.0641307026,0.2899915141,-0.1935554537,0.0578369005,2025-04 to 2025-10,802
top3_mean_consumption,-2,-0.1512359818,0.0587864665,0.0100928277,-0.2664574561,-0.0360145075,2025-04 to 2025-10,802
top3_mean_consumption,0,0.465587677,0.0965552518,1.4214e-06,0.2763393835,0.6548359705,2025-04 to 2025-10,802
top3_mean_consumption,1,0.5010635271,0.0986469181,3.787e-07,0.3077155676,0.6944114865,2025-04 to 2025-10,802
top3_mean_consumption,2,0.4309383857,0.0996558765,1.53041e-05,0.2356128677,0.6262639037,2025-04 to 2025-10,802
top3_mean_consumption,3,0.1954914032,0.099629166,0.0497403095,0.0002182378,0.3907645686,2025-04 to 2025-10,802
top3_mean_consumption,4,0.3623400623,0.1008524617,0.0003271768,0.1646692373,0.5600108873,2025-04 to 2025-10,802
top3_mean_consumption,-12,-0.6147025883,0.1136209861,6.3e-08,-0.837399721,-0.3920054556,Winter Cohorts,894
top3_mean_consumption,-11,-0.5704787387,0.1127684526,4.218e-07,-0.7915049057,-0.3494525716,Winter Cohorts,894
top3_mean_consumption,-10,-0.5095308899,0.1128638291,6.3447e-06,-0.7307439949,-0.2883177849,Winter Cohorts,894
top3_mean_consumption,-9,-0.4256382938,0.1031174113,3.66401e-05,-0.62774842,-0.2235281677,Winter Cohorts,894
top3_mean_consumption,-8,-0.4589246221,0.1015629924,6.2244e-06,-0.6579880872,-0.2598611571,Winter Cohorts,894
top3_mean_consumption,-7,-0.387990685,0.1012028093,0.000126182,-0.5863481911,-0.1896331789,Winter Cohorts,894
top3_mean_consumption,-6,-0.2688134488,0.1000488864,0.0072135599,-0.464909266,-0.0727176315,Winter Cohorts,894
top3_mean_consumption,-5,-0.3381956926,0.096206016,0.0004392113,-0.526759484,-0.1496319013,Winter Cohorts,894
top3_mean_consumption,-4,-0.2088887096,0.0828409012,0.0116834118,-0.3712568761,-0.0465205432,Winter Cohorts,894
top3_mean_consumption,-3,-0.1314222376,0.0724452561,0.0696638218,-0.2734149395,0.0105704642,Winter Cohorts,894
top3_mean_consumption,-2,-0.1606717058,0.0612464572,0.0087066385,-0.2807147618,-0.0406286498,Winter Cohorts,894
top3_mean_consumption,0,0.4504846874,0.082685374,5.09e-08,0.2884213543,0.6125480205,Winter Cohorts,894
top3_mean_consumption,1,0.4683288118,0.0881237756,1.07e-07,0.2956062117,0.641051412,Winter Cohorts,894
top3_mean_consumption,2,0.3475384534,0.0928201714,0.0001809604,0.1656109174,0.5294659894,Winter Cohorts,894
top3_mean_consumption,3,0.1859094531,0.106948868,0.082157578,-0.0237103282,0.3955292344,Winter Cohorts,894
top3_mean_consumption,4,0.2144627019,0.119086968,0.0717199917,-0.0189477554,0.4478731593,Winter Cohorts,894
