outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper
top3_mean_consumption,-12,-0.5673851028,0.0802948192,0.0,-0.7247629485,-0.4100072572
top3_mean_consumption,-11,-0.5137682428,0.0782045205,1e-10,-0.667049103,-0.3604873826
top3_mean_consumption,-10,-0.4369125612,0.078401844,2.51e-08,-0.5905801755,-0.2832449469
top3_mean_consumption,-9,-0.3856563166,0.0706423859,4.78e-08,-0.5241153929,-0.2471972403
top3_mean_consumption,-8,-0.4058027336,0.0718512903,1.63e-08,-0.5466312625,-0.2649742047
top3_mean_consumption,-7,-0.3008223684,0.0703648544,1.90984e-05,-0.4387374831,-0.1629072538
top3_mean_consumption,-6,-0.2412674703,0.0679955408,0.0003877503,-0.3745387303,-0.1079962103
top3_mean_consumption,-5,-0.1912281574,0.0646729095,0.0031079826,-0.31798706,-0.0644692548
top3_mean_consumption,-4,-0.1583109774,0.0554383562,0.0042952647,-0.2669701555,-0.0496517993
top3_mean_consumption,-3,-0.088999538,0.0500262833,0.0752306518,-0.1870510532,0.0090519773
top3_mean_consumption,-2,-0.1407458164,0.0414278738,0.000680369,-0.2219444491,-0.0595471838
top3_mean_consumption,0,0.471902445,0.0602642028,0.0,0.3537846076,0.5900202824
top3_mean_consumption,1,0.4898991993,0.0650645793,0.0,0.3623726238,0.6174257748
top3_mean_consumption,2,0.3995354674,0.0677731292,3.7e-09,0.2667001341,0.5323708007
top3_mean_consumption,3,0.1950991049,0.0744357533,0.0087661914,0.0492050284,0.3409931814
top3_mean_consumption,4,0.2859043414,0.0806930253,0.0003954363,0.1277460119,0.4440626709
