outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper
top3_mean_consumption,-12,-0.3857276589,0.0742773512,2.069e-07,-0.5313112672,-0.2401440506
top3_mean_consumption,-11,-0.3056835295,0.0725612409,2.52262e-05,-0.4479035615,-0.1634634974
top3_mean_consumption,-10,-0.2891040051,0.0715234756,5.29779e-05,-0.4292900172,-0.1489179929
top3_mean_consumption,-9,-0.2674515552,0.0711529854,0.0001707138,-0.4069114066,-0.1279917039
top3_mean_consumption,-8,-0.2370389489,0.0690037399,0.0005922021,-0.3722862792,-0.1017916187
top3_mean_consumption,-7,-0.2189345984,0.067354588,0.0011521123,-0.3509495908,-0.086919606
top3_mean_consumption,-6,-0.2728670482,0.063408655,1.68266e-05,-0.397148012,-0.1485860844
top3_mean_consumption,-5,-0.2389908399,0.0605842978,7.98782e-05,-0.3577360637,-0.1202456162
top3_mean_consumption,-4,-0.1985453167,0.0585042567,0.0006895768,-0.3132136598,-0.0838769735
top3_mean_consumption,-3,-0.1749463073,0.0532204197,0.0010118797,-0.2792583298,-0.0706342847
top3_mean_consumption,-2,-0.1248878043,0.0416514406,0.0027139854,-0.2065246279,-0.0432509808
top3_mean_consumption,0,0.4031114927,0.0515902808,0.0,0.3019945424,0.504228443
top3_mean_consumption,1,0.3289399666,0.0580806178,1.48e-08,0.2151019558,0.4427779774
top3_mean_consumption,2,0.2852146239,0.0631037376,6.1906e-06,0.1615312983,0.4088979495
top3_mean_consumption,3,0.3095673662,0.0693740511,8.1087e-06,0.173594226,0.4455405063
top3_mean_consumption,4,0.3539011346,0.0746016713,2.0967e-06,0.2076818589,0.5001204104
top3_mean_consumption,5,0.3343710218,0.0739925215,6.2137e-06,0.1893456797,0.4793963638
top3_mean_consumption,6,0.3005951215,0.0736974953,4.52746e-05,0.1561480307,0.4450422122
top3_mean_consumption,7,0.2963463282,0.0759771892,9.60083e-05,0.1474310373,0.445261619
top3_mean_consumption,8,0.2893085062,0.0774767898,0.0001883642,0.1374539983,0.4411630142
top3_mean_consumption,9,0.2316878894,0.0815210897,0.004482295,0.0719065535,0.3914692252
top3_mean_consumption,10,0.1830804592,0.0854778542,0.0322058207,0.015543865,0.3506170535
top3_mean_consumption,11,0.2568959258,0.1016915659,0.0115295131,0.0575804566,0.4562113951
