new_event_time,mean_treated,mean_control,effect,se,t_stat,p_value,n_treated,n_control,ci_low,ci_high
-14,4.7302672231,4.2731734812,0.4570937419,0.2317425423,1.9724205037,0.0485616231,121,586,0.0028867054,0.9113007784
-13,4.5427674488,4.4472620276,0.0955054212,0.0813834082,1.1735244724,0.2405855489,1065,5246,-0.0640031278,0.2550139702
-12,4.5895999578,4.5603789855,0.0292209724,0.0642812698,0.4545798871,0.6494115072,1684,8265,-0.0967680013,0.155209946
-11,4.7645185772,4.6692151292,0.095303448,0.0670542228,1.4212892787,0.1552326791,1678,8240,-0.0361204138,0.2267273097
-10,5.1801868569,5.0268257475,0.1533611094,0.0735587415,2.0848794609,0.0370802435,1685,8266,0.0091886252,0.2975335935
-9,5.4217371944,5.2685648392,0.1531723552,0.0733739962,2.0875563977,0.0368378686,1692,8298,0.0093619652,0.2969827452
-8,5.7053140266,5.5791399834,0.1261740432,0.077301342,1.6322361283,0.1026297527,1692,8299,-0.0253338031,0.2776818896
-7,5.4684937915,5.3187427556,0.1497510359,0.0768470136,1.9486903772,0.0513324117,1693,8303,-0.0008663431,0.3003684148
-6,4.9094583615,4.7806092635,0.128849098,0.0692614566,1.8603290248,0.0628389895,1693,8304,-0.0069008624,0.2645990584
-5,4.8943815443,4.8697226025,0.0246589418,0.0682889578,0.361097058,0.7180268925,1694,8308,-0.1091849562,0.1585028397
-4,4.9908588165,4.9906716259,0.0001871906,0.0681009688,0.0027487223,0.9978068397,1695,8334,-0.1332882556,0.1336626369
-3,5.0925394271,5.0836618907,0.0088775365,0.0697516615,0.1272734771,0.8987239518,1695,8379,-0.1278332078,0.1455882808
-2,5.0600469723,5.0660517801,-0.0060048078,0.0697642634,-0.0860728338,0.9314085189,1696,8478,-0.1427402515,0.1307306358
-1,4.773968148,4.7872653768,-0.0132972288,0.0671931137,-0.1978957072,0.8431266629,1696,8467,-0.1449933117,0.1183988541
0,4.1849645738,4.8559017152,-0.6709371414,0.0848915547,-7.9034615863,0.0,894,4463,-0.8373215311,-0.5045527516
1,4.3475487388,5.1055192634,-0.7579705246,0.0647760818,-11.7013950761,0.0,1696,8464,-0.8849293119,-0.6310117372
2,4.3961120389,5.1383038708,-0.7421918319,0.065513743,-11.3287960426,0.0,1696,8462,-0.8705964086,-0.6137872552
3,4.9891212667,5.7960945926,-0.8069733259,0.0760544238,-10.6104718859,0.0,1575,7862,-0.9560372575,-0.6579093943
4,4.6240434569,5.5319439933,-0.9079005364,0.0765961052,-11.8530901073,0.0,1427,7124,-1.0580261438,-0.7577749289
