event_time,mean_treated,mean_control,effect,se,t_stat,p_value,n_treated,n_control,ci_low,ci_high
-35,4.7302672231,4.2731734812,0.4570937419,0.2317425423,1.9724205037,0.0485616231,121,586,0.0028867054,0.9113007784
-34,4.739333322,4.5298032475,0.2095300744,0.1618061527,1.2949450375,0.1953391905,264,1313,-0.1076041573,0.5266643062
-33,4.7656293898,4.5891852344,0.1764441554,0.1558707309,1.1319902999,0.2576385125,313,1554,-0.1290568634,0.4819451742
-32,4.8386499247,4.76451987,0.0741300547,0.1845159813,0.4017541144,0.6878649947,239,1208,-0.2875146233,0.4357747326
-31,4.7642542086,4.5564262038,0.2078280048,0.2455532642,0.8463662882,0.3973484388,139,682,-0.2734475494,0.689103559
-30,4.797111098,4.4839716733,0.3131394247,0.247894658,1.2631955332,0.2065189177,153,753,-0.172725177,0.7990040264
-29,4.4810363974,4.4411710984,0.039865299,0.1789446648,0.2227800366,0.823706706,229,1128,-0.3108597993,0.3905903972
-28,4.4976036738,4.4520827592,0.0455209146,0.1479142729,0.3077520088,0.7582710417,328,1611,-0.2443857331,0.3354275624
-27,4.4470986639,4.4178059836,0.0292926803,0.108035314,0.2711398632,0.7862834631,598,2931,-0.1824526442,0.2410380047
-26,4.5970778269,4.6132496696,-0.0161718427,0.0778034878,-0.2078549836,0.8353421993,1092,5339,-0.1686638766,0.1363201913
-25,4.7440087087,4.6668556938,0.0771530149,0.0819879855,0.9410283035,0.346690355,1072,5232,-0.0835404838,0.2378465136
-24,5.2582411156,5.0460715938,0.2121695218,0.1004529135,2.1121291001,0.0346753776,883,4316,0.0152854292,0.4090536144
-23,5.7848249019,5.4976115423,0.2872133596,0.1836651944,1.5637876327,0.1178674496,316,1560,-0.0727638067,0.6471905259
-22,5.7727680055,5.4766171502,0.2961508553,0.1754339208,1.6881048651,0.0913911007,365,1804,-0.0476933112,0.6399950218
-21,5.3551190739,5.058672993,0.2964460809,0.1664439689,1.7810563091,0.0749032523,406,2002,-0.0297781036,0.6226702653
-20,5.370971341,5.0255683389,0.345403002,0.1759170523,1.9634424157,0.0495947894,349,1729,0.0006119154,0.6901940887
-19,5.3960589634,5.0906276463,0.3054313171,0.1833599464,1.6657471987,0.0957637768,328,1623,-0.0539475741,0.6648102082
-18,5.2761937871,5.1031634268,0.1730303603,0.1553365574,1.1139062381,0.265319413,418,2062,-0.1314236977,0.4774844183
-17,5.129612606,5.018883434,0.110729172,0.1151028434,0.9620020557,0.3360485713,703,3463,-0.1148682556,0.3363265995
-16,5.2989178982,5.2331504211,0.0657674771,0.0821810122,0.8002758225,0.4235510079,1287,6298,-0.095304347,0.2268393012
-15,5.4168956173,5.3187651203,0.098130497,0.0858370646,1.1432182294,0.2529479954,1223,5983,-0.0701070581,0.2663680521
-14,5.539738602,5.4968220222,0.0429165798,0.0930696473,0.4611232667,0.6447101699,1098,5363,-0.139496577,0.2253297367
-13,4.9954769842,4.9277827978,0.0676941864,0.0841635425,0.8043172193,0.4212137955,1079,5267,-0.0972633256,0.2326516985
-12,5.0106375168,4.9823639167,0.0282736001,0.0920049436,0.3073052268,0.7586110576,892,4349,-0.1520527759,0.208599976
-11,5.1847421478,5.1874557369,-0.0027135891,0.16030872,-0.0169272708,0.9864946369,318,1566,-0.3169129067,0.3114857284
-10,5.2851253433,5.2682435229,0.0168818205,0.1575975709,0.1071198012,0.9146939385,367,1817,-0.2920037425,0.3257673834
-9,4.9390808873,4.9398412032,-0.000760316,0.1433527256,-0.0053038126,0.9957681896,408,2032,-0.2817264952,0.2802058632
-8,4.957221265,4.9432574923,0.0139637727,0.1570640915,0.088904934,0.9291574623,351,1745,-0.2938761899,0.3218037353
-7,4.921446125,4.918916663,0.002529462,0.1631506292,0.0155038446,0.9876302173,328,1632,-0.3172398953,0.3222988193
-6,4.8393221627,4.8461044142,-0.0067822515,0.1442069957,-0.0470313628,0.9624882313,418,2069,-0.2894227694,0.2758582664
-5,4.6740275092,4.681964998,-0.0079374887,0.1043810597,-0.0760433814,0.9393845847,703,3476,-0.2125206065,0.196645629
-4,4.9724109884,4.9619748589,0.0104361294,0.079164348,0.1318286535,0.8951198221,1288,6338,-0.1447231416,0.1655954004
-3,4.9977657966,4.9945339041,0.0032318925,0.0805631003,0.0401162877,0.9680004166,1224,6056,-0.1546688825,0.1611326675
-2,5.0339820955,5.0335391453,0.0004429502,0.0849729708,0.0052128369,0.9958407767,1099,5492,-0.1661010122,0.1669869127
-1,4.8804956713,4.9005006715,-0.0200050002,0.0819606731,-0.2440804771,0.8071684924,1080,5394,-0.1806449676,0.1406349672
0,4.1849645738,4.8559017152,-0.6709371414,0.0848915547,-7.9034615863,0.0,894,4463,-0.8373215311,-0.5045527516
1,4.9286071034,5.4482444789,-0.5196373754,0.1646804232,-3.1554289526,0.0016026229,319,1587,-0.842405074,-0.1968696769
2,5.076860462,5.7247360011,-0.6478755391,0.1615951039,-4.0092522814,6.09113e-05,368,1832,-0.9645961229,-0.3311549553
3,5.0026155854,5.6528562893,-0.6502407039,0.1878275407,-3.4619028792,0.0005363707,287,1431,-1.018375919,-0.2821054889
4,4.6174482709,5.292910746,-0.6754624751,0.2083023802,-3.2427016646,0.0011840212,203,1012,-1.0837276383,-0.267197312
5,4.313016795,5.1895766095,-0.8765598145,0.1585061535,-5.5301311334,3.2e-08,278,1388,-1.1872261668,-0.5658934623
6,4.2397551951,4.9988897371,-0.759134542,0.1373148484,-5.5284228251,3.23e-08,369,1841,-1.0282666993,-0.4900023846
7,4.2161739593,4.9642766959,-0.7481027366,0.104541827,-7.1560136094,0.0,663,3308,-0.9530009524,-0.5432045209
8,4.338825174,5.1701677682,-0.8313425941,0.0767894284,-10.8262636129,0.0,1224,6112,-0.9818471081,-0.6808380802
9,4.4417701046,5.2869289275,-0.8451588228,0.0819853703,-10.3086540904,0.0,1099,5487,-1.0058471959,-0.6844704498
10,4.9121637153,5.7593874745,-0.8472237592,0.095343324,-8.8860312781,0.0,959,4790,-1.0340932404,-0.660354278
11,4.8163482672,5.7833987359,-0.9670504687,0.1130472292,-8.5543933758,0.0,625,3124,-1.1886189665,-0.7454819709
